number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 00:52:09.876232,2025-11-26 00:52:09.881633,0 days 00:00:00.005401,0.01702267740304299,128,0.0025882571120120763,0.4,300,0.0007514955103780996,5,4,COMPLETE
1,0.0,2025-11-26 00:52:09.881830,2025-11-26 00:52:09.884233,0 days 00:00:00.002403,0.10499584870846593,64,0.008433170249861918,0.5,300,0.0009226121752627976,6,4,COMPLETE
2,0.0,2025-11-26 00:52:09.884396,2025-11-26 00:52:09.886335,0 days 00:00:00.001939,0.018089917636390337,128,0.023889876633914012,0.1,300,0.00016082090048646677,3,5,COMPLETE
3,0.0,2025-11-26 00:52:09.886500,2025-11-26 00:52:09.903698,0 days 00:00:00.017198,0.05181350084380447,256,0.07715800905428932,0.5,300,1.0033471962826165e-05,7,4,COMPLETE
4,0.0,2025-11-26 00:52:09.903867,2025-11-26 00:52:09.905784,0 days 00:00:00.001917,0.9198836349353957,256,0.02121480058307851,0.30000000000000004,300,7.108681412161229e-05,4,4,COMPLETE
5,0.0,2025-11-26 00:52:09.905944,2025-11-26 00:52:09.907857,0 days 00:00:00.001913,0.015761380870539524,32,0.00229072662944634,0.4,300,0.0055395846212104695,4,5,COMPLETE
6,0.0,2025-11-26 00:52:09.908017,2025-11-26 00:52:09.910017,0 days 00:00:00.002000,0.0670077684096013,32,0.0023516996826220917,0.5,300,0.008007634479216897,7,5,COMPLETE
7,0.0,2025-11-26 00:52:09.910199,2025-11-26 00:52:09.912150,0 days 00:00:00.001951,0.24101822381486332,32,0.004971166561068454,0.30000000000000004,300,3.520916440104133e-05,8,4,COMPLETE
8,0.0,2025-11-26 00:52:09.912308,2025-11-26 00:52:09.914154,0 days 00:00:00.001846,0.03342166839455691,512,0.0014580498207890365,0.1,300,1.3120502500276384e-05,4,4,COMPLETE
9,0.0,2025-11-26 00:52:09.914296,2025-11-26 00:52:09.916150,0 days 00:00:00.001854,0.011313335903947286,128,0.0042186092055442005,0.5,300,0.008396225975813701,5,4,COMPLETE
10,0.0,2025-11-26 00:52:09.916290,2025-11-26 00:52:09.943695,0 days 00:00:00.027405,0.18961468644703777,128,0.019011659705125306,0.0,300,0.0008589460811853287,6,6,COMPLETE
