number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 00:52:11.060565,2025-11-26 00:52:11.064595,0 days 00:00:00.004030,0.10651701704710553,512,0.008748241384595002,0.1,300,0.0016621822034784109,8,3,COMPLETE
1,0.0,2025-11-26 00:52:11.064749,2025-11-26 00:52:11.066586,0 days 00:00:00.001837,0.11466376972882115,256,0.0015156367159617312,0.5,300,0.0008860303753083874,7,3,COMPLETE
2,0.0,2025-11-26 00:52:11.066700,2025-11-26 00:52:11.068158,0 days 00:00:00.001458,0.6940103225710123,256,0.0014876272659757421,0.4,300,0.0005330867596392623,4,5,COMPLETE
3,0.0,2025-11-26 00:52:11.068261,2025-11-26 00:52:11.069690,0 days 00:00:00.001429,0.026268145241038095,32,0.04855055354852723,0.5,300,5.0864743393338775e-05,8,3,COMPLETE
4,0.0,2025-11-26 00:52:11.069792,2025-11-26 00:52:11.071220,0 days 00:00:00.001428,0.03281765004180172,64,0.04683699055182235,0.0,300,0.0019508636661718407,7,5,COMPLETE
5,0.0,2025-11-26 00:52:11.071315,2025-11-26 00:52:11.072775,0 days 00:00:00.001460,0.02000402983453812,128,0.028017070171412247,0.30000000000000004,300,6.751138102900507e-05,7,3,COMPLETE
6,0.0,2025-11-26 00:52:11.072872,2025-11-26 00:52:11.074392,0 days 00:00:00.001520,0.05714204197581838,64,0.002520953099193897,0.5,300,6.028455772686856e-05,3,3,COMPLETE
7,0.0,2025-11-26 00:52:11.074520,2025-11-26 00:52:11.075987,0 days 00:00:00.001467,0.020242798451762203,512,0.02584201808399528,0.0,300,0.003930278396942409,7,4,COMPLETE
8,0.0,2025-11-26 00:52:11.076085,2025-11-26 00:52:11.077451,0 days 00:00:00.001366,0.011817725057991153,32,0.0016104034860414888,0.1,300,0.00033204963698254755,5,4,COMPLETE
9,0.0,2025-11-26 00:52:11.077535,2025-11-26 00:52:11.078903,0 days 00:00:00.001368,0.31529830021252064,32,0.002166673454036615,0.2,300,7.933945690956687e-05,5,4,COMPLETE
10,0.0,2025-11-26 00:52:11.078989,2025-11-26 00:52:11.089341,0 days 00:00:00.010352,0.18605499046026772,512,0.007092004200267613,0.2,300,0.00924651206835831,8,6,COMPLETE
11,0.0,2025-11-26 00:52:11.089431,2025-11-26 00:52:11.098958,0 days 00:00:00.009527,0.11362280111055428,256,0.005962772778790005,0.30000000000000004,300,0.0011622563652946148,6,3,COMPLETE
