number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,65.6857101151311,2025-11-26 09:15:59.201867,2025-11-26 09:28:23.140487,0 days 00:12:23.938620,0.060120634484993885,256,0.0017018769195336456,9.739449831362613e-06,0.30000000000000004,300,2.392615147424782e-05,0.3447367187027369,3,6,66.66666666666667,,,COMPLETE
1,61.11111111111111,2025-11-26 09:28:23.140976,2025-11-26 09:29:12.121673,0 days 00:00:48.980697,0.026101582800031605,64,0.08497203379528293,1.0230221342389777e-06,0.4,300,0.008936767380566714,0.2504705455512425,8,7,61.11111111111111,,,PRUNED
2,0.0,2025-11-26 09:29:12.121912,2025-11-26 09:29:12.458265,0 days 00:00:00.336353,0.19536864651869024,512,0.058663436298217214,2.6167029341534057e-05,0.30000000000000004,300,0.005247755915486127,0.18340845654748064,5,6,,,,COMPLETE
3,72.72648508647084,2025-11-26 09:29:12.458805,2025-11-26 09:38:30.055204,0 days 00:09:17.596399,0.28723732125231927,32,0.0010214806156561866,4.80135084530893e-05,0.2,300,0.0014061788439501148,0.5681212233525523,10,7,55.0925925925926,55.0925925925926,,COMPLETE
4,0.0,2025-11-26 09:38:30.055763,2025-11-26 09:38:30.646301,0 days 00:00:00.590538,0.027231051660086932,512,0.0015951073915238488,1.5460226613066133e-06,0.5,300,0.00011354268729704346,0.026424978068351073,6,7,,,,COMPLETE
5,52.9320987654321,2025-11-26 09:38:30.647326,2025-11-26 09:38:43.653566,0 days 00:00:13.006240,0.047021046902036935,256,0.021179148029334297,8.1752347158658e-06,0.5,300,2.9215771737952325e-05,0.011021942083159613,7,3,52.9320987654321,,,PRUNED
6,62.5,2025-11-26 09:38:43.653854,2025-11-26 09:39:24.956921,0 days 00:00:41.303067,0.9924325390331841,128,0.009181693023703724,1.0072549232517726e-05,0.0,300,0.0026948626947623676,0.08782869847038315,3,6,62.5,,,PRUNED
7,49.074074074074076,2025-11-26 09:39:24.957235,2025-11-26 09:39:38.655920,0 days 00:00:13.698685,0.5031000447298591,128,0.0016703518003418156,7.86839827191727e-05,0.0,300,9.271512678825735e-05,0.014784666573300274,10,4,49.074074074074076,,,PRUNED
8,69.99101308079865,2025-11-26 09:39:38.656332,2025-11-26 09:46:57.481787,0 days 00:07:18.825455,0.24145473452747004,128,0.004018976485635041,1.1208345588969883e-06,0.0,300,0.004845001533896313,0.10577082078806423,3,7,56.327160493827165,59.413580246913575,,COMPLETE
9,54.01234567901234,2025-11-26 09:46:57.482330,2025-11-26 09:47:10.420353,0 days 00:00:12.938023,0.6443529501643767,256,0.042551369328633695,1.8421668590361726e-05,0.0,300,2.6957443083654595e-05,0.12428764292002263,9,5,54.01234567901234,,,PRUNED
10,41.82098765432099,2025-11-26 09:47:10.420669,2025-11-26 09:47:30.140615,0 days 00:00:19.719946,0.15198299433198922,32,0.005382928455616435,9.653951156264391e-05,0.2,300,0.0009188244062763168,0.84884723893143,10,5,41.82098765432099,,,PRUNED
11,52.31481481481482,2025-11-26 09:47:30.140849,2025-11-26 09:47:50.862192,0 days 00:00:20.721343,0.3322254905809877,32,0.0038360114227762544,3.012034223414362e-06,0.1,300,0.0011291523454379246,0.05231316380051016,5,7,52.31481481481482,,,PRUNED
12,57.407407407407405,2025-11-26 09:47:50.862467,2025-11-26 09:48:33.324473,0 days 00:00:42.462006,0.24257718441773002,128,0.0010039724294840402,3.6723253712225064e-05,0.2,300,0.0007286365502016491,0.6982342614843549,4,7,57.407407407407405,,,PRUNED
