number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,61.69269420427149,2025-11-26 09:31:44.508905,2025-11-26 09:46:15.158316,0 days 00:14:30.649411,0.0471592171285289,256,0.014829574120204678,7.440154989554661e-05,0.30000000000000004,300,0.0001734899742025135,0.034708753696202584,4,3,,,,COMPLETE
1,76.58997659131964,2025-11-26 09:46:15.158802,2025-11-26 09:58:03.415640,0 days 00:11:48.256838,0.46358936638247966,32,0.00335480879819629,5.557869857564212e-06,0.5,300,0.0011311873737556658,0.3579474261610467,7,7,62.34567901234568,62.34567901234568,,COMPLETE
2,54.629629629629626,2025-11-26 09:58:03.416021,2025-11-26 09:58:16.650132,0 days 00:00:13.234111,0.17237999451644911,256,0.0016101272480505825,4.208887484830924e-05,0.0,300,0.0007500187957036179,0.6969255628251934,7,5,54.629629629629626,,,PRUNED
3,55.36502661625734,2025-11-26 09:58:16.650369,2025-11-26 10:03:34.714146,0 days 00:05:18.063777,0.2575067652922617,256,0.022082505493734906,4.4236575963268616e-05,0.4,300,2.03254200936421e-05,0.3547975874554172,6,5,59.876543209876544,,,COMPLETE
4,48.14814814814815,2025-11-26 10:03:34.714630,2025-11-26 10:04:34.725363,0 days 00:01:00.010733,0.09174379262831422,32,0.0020363513049997087,9.295289200712676e-05,0.0,300,0.00027141106909196646,0.08355327373701642,6,7,48.14814814814815,,,PRUNED
5,51.388888888888886,2025-11-26 10:04:34.725666,2025-11-26 10:05:23.808358,0 days 00:00:49.082692,0.04902607966429466,64,0.006068949918325802,2.0187321287179507e-05,0.0,300,0.0006361099618061603,0.09965906930273072,7,7,51.388888888888886,,,PRUNED
6,56.79012345679012,2025-11-26 10:05:23.808719,2025-11-26 10:05:39.940058,0 days 00:00:16.131339,0.8825006621379127,64,0.0153045714092791,1.0064722453274954e-05,0.1,300,7.672126380557036e-05,0.024008409556464154,3,5,56.79012345679012,,,PRUNED
7,55.8641975308642,2025-11-26 10:05:39.940550,2025-11-26 10:06:38.018756,0 days 00:00:58.078206,0.1833858709261253,32,0.03913912622892629,2.3949637555704524e-06,0.0,300,0.0012654915059894176,0.6554496592984634,3,6,55.8641975308642,,,PRUNED
8,0.0,2025-11-26 10:06:38.019096,2025-11-26 10:06:38.480531,0 days 00:00:00.461435,0.6439810987217557,512,0.043131417156389344,6.823027335581036e-05,0.4,300,0.0002768088394668575,0.08895945240567839,7,6,,,,COMPLETE
9,56.172839506172835,2025-11-26 10:06:38.481098,2025-11-26 10:06:53.325794,0 days 00:00:14.844696,0.5503256391311793,128,0.017178980214291862,2.5827196154081437e-05,0.1,300,0.004117152659783522,0.5578913922996489,3,6,56.172839506172835,,,PRUNED
10,73.27869304289804,2025-11-26 10:06:53.326041,2025-11-26 10:18:24.616779,0 days 00:11:31.290738,0.020417594680387247,32,0.004763012898367877,1.8104361861092321e-06,0.5,300,0.008606888272916712,0.22831009067216904,10,3,65.74074074074075,,,COMPLETE
11,57.407407407407405,2025-11-26 10:18:24.617208,2025-11-26 10:18:42.942311,0 days 00:00:18.325103,0.010583332255548436,32,0.004844900481100073,1.709232604039266e-06,0.5,300,0.009659768182675103,0.2434754262427822,10,3,57.407407407407405,,,PRUNED
12,73.46032372915516,2025-11-26 10:18:42.942520,2025-11-26 10:30:33.277720,0 days 00:11:50.335200,0.012340521184920208,32,0.003472823636383534,3.9080365175902675e-06,0.5,300,0.00286682844763764,0.21715482444728434,10,4,66.0493827160494,,,COMPLETE
13,71.36463895010934,2025-11-26 10:30:33.278259,2025-11-26 10:40:08.955598,0 days 00:09:35.677339,0.38178946876428815,32,0.0028068979641398826,4.246184607759565e-06,0.4,300,0.00223696460067136,0.1840997177037225,9,4,,,,COMPLETE
14,0.0,2025-11-26 10:40:08.956067,2025-11-26 10:40:09.461502,0 days 00:00:00.505435,0.010714908022477137,512,0.0010921501483401245,5.443737097929733e-06,0.5,300,0.0025754881004454912,0.04568600900200296,9,4,,,,COMPLETE
15,58.17901234567901,2025-11-26 10:40:09.462176,2025-11-26 10:40:47.926885,0 days 00:00:38.464709,0.07759602170786621,128,0.09524306762625195,6.723127484069774e-06,0.30000000000000004,300,0.0011358808503413988,0.3677261381532323,8,4,58.17901234567901,58.17901234567901,,PRUNED
16,59.72222222222222,2025-11-26 10:40:47.927065,2025-11-26 10:41:49.008171,0 days 00:01:01.081106,0.025920698089194727,32,0.007592426482985393,3.303446134307258e-06,0.2,300,0.003269821643489329,0.14511375420250372,5,7,59.72222222222222,59.72222222222222,,PRUNED
