number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 00:52:05.467969,2025-11-26 00:52:05.472041,0 days 00:00:00.004072,0.058602518066371255,128,0.016053533525029366,0.2,300,0.0019106493939718945,5,5,COMPLETE
1,0.0,2025-11-26 00:52:05.472177,2025-11-26 00:52:05.473894,0 days 00:00:00.001717,0.8433640703751575,128,0.018599821292748554,0.0,300,1.1386072402328112e-05,8,4,COMPLETE
2,0.0,2025-11-26 00:52:05.473994,2025-11-26 00:52:05.475327,0 days 00:00:00.001333,0.05164283310698766,64,0.011300315851500679,0.5,300,0.0013968168887380937,3,3,COMPLETE
3,0.0,2025-11-26 00:52:05.475427,2025-11-26 00:52:05.476841,0 days 00:00:00.001414,0.023305997587175765,32,0.005211291524322794,0.4,300,0.0014914393327799802,5,5,COMPLETE
4,0.0,2025-11-26 00:52:05.476937,2025-11-26 00:52:05.478275,0 days 00:00:00.001338,0.013325981716554391,256,0.005716273002561468,0.30000000000000004,300,0.0005302139297247139,5,3,COMPLETE
5,0.0,2025-11-26 00:52:05.478367,2025-11-26 00:52:05.479720,0 days 00:00:00.001353,0.059024697938209914,32,0.004441484980718421,0.2,300,5.962686309290881e-05,5,4,COMPLETE
6,0.0,2025-11-26 00:52:05.479817,2025-11-26 00:52:05.481237,0 days 00:00:00.001420,0.07395053786784017,256,0.03206381374326388,0.4,300,0.0009541785703821251,3,5,COMPLETE
7,0.0,2025-11-26 00:52:05.481352,2025-11-26 00:52:05.482723,0 days 00:00:00.001371,0.3156900452687108,64,0.04943413585249029,0.1,300,1.4409128036685997e-05,6,4,COMPLETE
8,0.0,2025-11-26 00:52:05.482817,2025-11-26 00:52:05.484126,0 days 00:00:00.001309,0.9523754790888368,64,0.010496348894628521,0.0,300,0.00030923351100780406,8,6,COMPLETE
9,0.0,2025-11-26 00:52:05.484208,2025-11-26 00:52:05.485495,0 days 00:00:00.001287,0.5944620113128719,256,0.0023611089154048524,0.30000000000000004,300,0.00317719366440625,6,5,COMPLETE
10,0.0,2025-11-26 00:52:05.485575,2025-11-26 00:52:05.495441,0 days 00:00:00.009866,0.18881480882897062,512,0.0010224994005496393,0.2,300,0.009256753210989468,4,6,COMPLETE
11,0.0,2025-11-26 00:52:05.495538,2025-11-26 00:52:05.504673,0 days 00:00:00.009135,0.12124516288283231,128,0.027703640295216377,0.0,300,0.0001298493144027944,8,4,COMPLETE
12,0.0,2025-11-26 00:52:05.504770,2025-11-26 00:52:05.513542,0 days 00:00:00.008772,0.026104981700922417,128,0.018281541736098875,0.1,300,1.0097742858518965e-05,7,5,COMPLETE
13,0.0,2025-11-26 00:52:05.513647,2025-11-26 00:52:05.522256,0 days 00:00:00.008609,0.30462556363204263,128,0.08955679431209652,0.1,300,3.3375318565902666e-05,7,4,COMPLETE
14,0.0,2025-11-26 00:52:05.522356,2025-11-26 00:52:05.531228,0 days 00:00:00.008872,0.142008401108272,128,0.017003128364986114,0.0,300,0.005086234566917261,4,6,COMPLETE
15,0.0,2025-11-26 00:52:05.531324,2025-11-26 00:52:05.540119,0 days 00:00:00.008795,0.03310940583331691,128,0.061935286989230225,0.2,300,0.00019003625527412894,7,3,COMPLETE
16,0.0,2025-11-26 00:52:05.540221,2025-11-26 00:52:05.548976,0 days 00:00:00.008755,0.6699143949376337,512,0.024004409871088195,0.1,300,7.719200506455787e-05,4,4,COMPLETE
17,0.0,2025-11-26 00:52:05.549075,2025-11-26 00:52:05.557776,0 days 00:00:00.008701,0.2879356406120379,128,0.008064247646523238,0.30000000000000004,300,2.6750482482060557e-05,6,5,COMPLETE
18,0.0,2025-11-26 00:52:05.557876,2025-11-26 00:52:05.566539,0 days 00:00:00.008663,0.010712985738119955,128,0.0027332379167028464,0.5,300,0.0036304033762258377,8,5,COMPLETE
19,0.0,2025-11-26 00:52:05.566635,2025-11-26 00:52:05.575678,0 days 00:00:00.009043,0.08356294133169208,128,0.044422059285451315,0.0,300,0.0005457673752775453,7,4,COMPLETE
20,0.0,2025-11-26 00:52:05.575777,2025-11-26 00:52:05.584697,0 days 00:00:00.008920,0.04094003993715393,32,0.014468590120711083,0.4,300,0.0019287118413332577,6,6,COMPLETE
