number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 00:52:05.631112,2025-11-26 00:52:05.635337,0 days 00:00:00.004225,0.014016789772591109,128,0.0014609288949110752,0.4,300,0.00021269839120070872,4,4,COMPLETE
1,0.0,2025-11-26 00:52:05.635479,2025-11-26 00:52:05.637326,0 days 00:00:00.001847,0.10265828197177625,512,0.002573758219471288,0.5,300,0.00020140243751922226,7,3,COMPLETE
2,0.0,2025-11-26 00:52:05.637430,2025-11-26 00:52:05.638800,0 days 00:00:00.001370,0.013139857113595827,64,0.0011347595155706525,0.4,300,0.006010812611215525,7,3,COMPLETE
3,0.0,2025-11-26 00:52:05.638904,2025-11-26 00:52:05.640404,0 days 00:00:00.001500,0.36800397776688504,64,0.03035498602942117,0.2,300,0.0005029537537000768,7,6,COMPLETE
4,0.0,2025-11-26 00:52:05.640503,2025-11-26 00:52:05.641884,0 days 00:00:00.001381,0.03860028099734537,64,0.044207186054485655,0.5,300,0.006687210226143807,3,4,COMPLETE
5,0.0,2025-11-26 00:52:05.641981,2025-11-26 00:52:05.643356,0 days 00:00:00.001375,0.7729395114469386,64,0.002844000075079115,0.2,300,0.004723375765788916,8,5,COMPLETE
6,0.0,2025-11-26 00:52:05.643457,2025-11-26 00:52:05.644970,0 days 00:00:00.001513,0.05300653309637471,64,0.03415601439896552,0.2,300,1.2748390772524328e-05,4,4,COMPLETE
7,0.0,2025-11-26 00:52:05.645091,2025-11-26 00:52:05.646484,0 days 00:00:00.001393,0.017282438609737192,512,0.04076608398727673,0.5,300,0.0010598484801987325,3,3,COMPLETE
8,0.0,2025-11-26 00:52:05.646584,2025-11-26 00:52:05.647989,0 days 00:00:00.001405,0.015498462335042045,32,0.0055927945624783,0.1,300,0.005812076723233525,7,5,COMPLETE
9,0.0,2025-11-26 00:52:05.648075,2025-11-26 00:52:05.649448,0 days 00:00:00.001373,0.026385997829624693,128,0.0010054858110139953,0.5,300,0.005859757342555297,3,4,COMPLETE
10,0.0,2025-11-26 00:52:05.649534,2025-11-26 00:52:05.659726,0 days 00:00:00.010192,0.17089912965052081,256,0.010492305549143176,0.0,300,5.7191223429738864e-05,5,6,COMPLETE
11,0.0,2025-11-26 00:52:05.659829,2025-11-26 00:52:05.669147,0 days 00:00:00.009318,0.10308224801439503,128,0.0027758239417546692,0.4,300,0.00011275034279685835,5,3,COMPLETE
12,0.0,2025-11-26 00:52:05.669235,2025-11-26 00:52:05.678325,0 days 00:00:00.009090,0.09741877276154609,512,0.002596248950335241,0.4,300,0.00014091238801293177,6,3,COMPLETE
13,0.0,2025-11-26 00:52:05.678431,2025-11-26 00:52:05.687642,0 days 00:00:00.009211,0.2351295078708205,512,0.009235874987208157,0.30000000000000004,300,0.0008542534765852399,6,4,COMPLETE
14,0.0,2025-11-26 00:52:05.687743,2025-11-26 00:52:05.696833,0 days 00:00:00.009090,0.0681772580284981,128,0.0016305269841519667,0.30000000000000004,300,0.00021589613836221866,4,5,COMPLETE
15,0.0,2025-11-26 00:52:05.696935,2025-11-26 00:52:05.706080,0 days 00:00:00.009145,0.48958757323791413,256,0.00524474773493411,0.4,300,4.0134495260354035e-05,8,3,COMPLETE
16,0.0,2025-11-26 00:52:05.706173,2025-11-26 00:52:05.715420,0 days 00:00:00.009247,0.0276860916853646,32,0.014953248361932509,0.5,300,0.0017076163422156784,4,4,COMPLETE
17,0.0,2025-11-26 00:52:05.715521,2025-11-26 00:52:05.724128,0 days 00:00:00.008607,0.14634583698875223,128,0.08446401038747445,0.30000000000000004,300,0.0003487594873204999,6,3,COMPLETE
18,0.0,2025-11-26 00:52:05.724224,2025-11-26 00:52:05.733038,0 days 00:00:00.008814,0.010030623423429405,512,0.0016405302961491766,0.4,300,4.326424597125306e-05,5,4,COMPLETE
19,0.0,2025-11-26 00:52:05.733141,2025-11-26 00:52:05.741670,0 days 00:00:00.008529,0.06071165859280108,128,0.004646773223862165,0.5,300,1.4719905957070482e-05,7,5,COMPLETE
20,0.0,2025-11-26 00:52:05.741773,2025-11-26 00:52:05.750523,0 days 00:00:00.008750,0.23249397921558612,512,0.0017698016933496753,0.30000000000000004,300,0.002252184827889728,4,3,COMPLETE
21,0.0,2025-11-26 00:52:05.750628,2025-11-26 00:52:05.759899,0 days 00:00:00.009271,0.014371799263024296,64,0.001028743465196421,0.4,300,0.0005413853975635241,7,3,COMPLETE
22,0.0,2025-11-26 00:52:05.759992,2025-11-26 00:52:05.769295,0 days 00:00:00.009303,0.010510029045316992,256,0.0014080127190406208,0.4,300,0.0001049866211311306,8,3,COMPLETE
23,0.0,2025-11-26 00:52:05.769398,2025-11-26 00:52:05.778497,0 days 00:00:00.009099,0.023770113785593842,32,0.0035445148526923255,0.5,300,0.00020566543439347971,6,4,COMPLETE
24,0.0,2025-11-26 00:52:05.778609,2025-11-26 00:52:05.787863,0 days 00:00:00.009254,0.03790437721489955,512,0.001958963930817906,0.4,300,0.0003121296778100542,7,3,COMPLETE
25,0.0,2025-11-26 00:52:05.787957,2025-11-26 00:52:05.796842,0 days 00:00:00.008885,0.0906666124475519,64,0.0012101690008556342,0.30000000000000004,300,0.0025417384578794587,8,4,COMPLETE
26,0.0,2025-11-26 00:52:05.796937,2025-11-26 00:52:05.806318,0 days 00:00:00.009381,0.045454441418935385,128,0.0022246576744733774,0.5,300,7.000520834871281e-05,5,3,COMPLETE
27,0.0,2025-11-26 00:52:05.806439,2025-11-26 00:52:05.815803,0 days 00:00:00.009364,0.02057159159325964,128,0.003954008365881278,0.4,300,2.56945550276281e-05,6,3,COMPLETE
28,0.0,2025-11-26 00:52:05.815897,2025-11-26 00:52:05.825261,0 days 00:00:00.009364,0.028647140138879076,64,0.007495044639023326,0.1,300,0.009701770246193777,7,4,COMPLETE
29,0.0,2025-11-26 00:52:05.825363,2025-11-26 00:52:05.834469,0 days 00:00:00.009106,0.3352680093125325,512,0.017895506337098577,0.5,300,0.0007686293289652349,7,6,COMPLETE
