number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 00:52:05.147903,2025-11-26 00:52:05.152007,0 days 00:00:00.004104,0.4441595278702529,128,0.08337855457854118,0.1,300,4.959455697304135e-05,3,3,COMPLETE
1,0.0,2025-11-26 00:52:05.152145,2025-11-26 00:52:05.153927,0 days 00:00:00.001782,0.16449017661074425,32,0.0020056172167339614,0.1,300,1.902085133148242e-05,5,6,COMPLETE
2,0.0,2025-11-26 00:52:05.154041,2025-11-26 00:52:05.155462,0 days 00:00:00.001421,0.22565378514701218,64,0.0015621328173923562,0.0,300,0.0037954904798799165,7,4,COMPLETE
3,0.0,2025-11-26 00:52:05.155563,2025-11-26 00:52:05.157041,0 days 00:00:00.001478,0.34131655614145334,256,0.059380993534907174,0.2,300,0.0003396210090436738,5,5,COMPLETE
4,0.0,2025-11-26 00:52:05.157138,2025-11-26 00:52:05.158519,0 days 00:00:00.001381,0.09809092023137511,64,0.00511088003033922,0.30000000000000004,300,1.097058248196025e-05,3,3,COMPLETE
5,0.0,2025-11-26 00:52:05.158615,2025-11-26 00:52:05.160002,0 days 00:00:00.001387,0.020169613139733412,32,0.0013481147011567155,0.30000000000000004,300,1.876551860703786e-05,3,4,COMPLETE
6,0.0,2025-11-26 00:52:05.160096,2025-11-26 00:52:05.161562,0 days 00:00:00.001466,0.021630577100039218,32,0.0064055670442647785,0.30000000000000004,300,1.7384289250819174e-05,8,6,COMPLETE
7,0.0,2025-11-26 00:52:05.161680,2025-11-26 00:52:05.163087,0 days 00:00:00.001407,0.714120228812082,512,0.0023287223045503225,0.2,300,8.678309570243526e-05,6,5,COMPLETE
8,0.0,2025-11-26 00:52:05.163182,2025-11-26 00:52:05.164513,0 days 00:00:00.001331,0.5029081890206198,256,0.035057719612171405,0.5,300,0.00010226377245415844,3,5,COMPLETE
9,0.0,2025-11-26 00:52:05.164596,2025-11-26 00:52:05.165908,0 days 00:00:00.001312,0.058515325268670114,32,0.0036295222018488007,0.1,300,0.00031715244030868764,3,4,COMPLETE
10,0.0,2025-11-26 00:52:05.165990,2025-11-26 00:52:05.176586,0 days 00:00:00.010596,0.7741139659765508,128,0.020304494106734374,0.5,300,0.0031447348845814165,4,3,COMPLETE
11,0.0,2025-11-26 00:52:05.176678,2025-11-26 00:52:05.185997,0 days 00:00:00.009319,0.16846069841015607,128,0.014805866559076971,0.0,300,4.620751589737401e-05,5,6,COMPLETE
12,0.0,2025-11-26 00:52:05.186093,2025-11-26 00:52:05.195161,0 days 00:00:00.009068,0.06055309777124262,128,0.06888561135042172,0.1,300,4.9618869071537654e-05,6,3,COMPLETE
13,0.0,2025-11-26 00:52:05.195273,2025-11-26 00:52:05.204426,0 days 00:00:00.009153,0.17532390730393316,512,0.012922406769517615,0.1,300,0.0007576731895963318,4,6,COMPLETE
14,0.0,2025-11-26 00:52:05.204518,2025-11-26 00:52:05.213995,0 days 00:00:00.009477,0.3578733090783531,128,0.09482140965575667,0.1,300,3.625784224187233e-05,4,5,COMPLETE
15,0.0,2025-11-26 00:52:05.214090,2025-11-26 00:52:05.223516,0 days 00:00:00.009426,0.08116119265624908,32,0.024534836111577873,0.0,300,0.0001345648557145315,7,4,COMPLETE
16,0.0,2025-11-26 00:52:05.223630,2025-11-26 00:52:05.233222,0 days 00:00:00.009592,0.038842511460129306,128,0.007441020139218746,0.2,300,2.639684661107448e-05,5,6,COMPLETE
17,0.0,2025-11-26 00:52:05.233319,2025-11-26 00:52:05.242885,0 days 00:00:00.009566,0.30580449912081736,32,0.0033300274266986406,0.1,300,0.0007593860152521369,4,3,COMPLETE
18,0.0,2025-11-26 00:52:05.242987,2025-11-26 00:52:05.252994,0 days 00:00:00.010007,0.011246170864415485,256,0.04969905303111066,0.4,300,0.009045626043718249,6,5,COMPLETE
19,0.0,2025-11-26 00:52:05.253097,2025-11-26 00:52:05.262752,0 days 00:00:00.009655,0.1311896931130015,64,0.002223009267774288,0.0,300,1.1900551318714702e-05,8,4,COMPLETE
20,0.0,2025-11-26 00:52:05.262856,2025-11-26 00:52:05.272756,0 days 00:00:00.009900,0.5217757647888895,512,0.009735088115145256,0.2,300,0.00016865144481963883,7,6,COMPLETE
21,0.0,2025-11-26 00:52:05.272863,2025-11-26 00:52:05.282428,0 days 00:00:00.009565,0.21773637640548937,64,0.0016597414341134992,0.0,300,0.0019211432728348798,7,4,COMPLETE
22,0.0,2025-11-26 00:52:05.282524,2025-11-26 00:52:05.292048,0 days 00:00:00.009524,0.2382601479869173,64,0.0012571452354314938,0.0,300,0.00959994866795296,7,3,COMPLETE
23,0.0,2025-11-26 00:52:05.292142,2025-11-26 00:52:05.301861,0 days 00:00:00.009719,0.15309572180750522,64,0.0036395023583073102,0.1,300,0.002204572160135606,5,4,COMPLETE
24,0.0,2025-11-26 00:52:05.301960,2025-11-26 00:52:05.312660,0 days 00:00:00.010700,0.47774484413792817,128,0.002393119312993751,0.0,300,0.0007642487896718182,8,3,COMPLETE
25,0.0,2025-11-26 00:52:05.312770,2025-11-26 00:52:05.322764,0 days 00:00:00.009994,0.940090388773645,64,0.0010873969579206055,0.1,300,0.004328895425000843,6,4,COMPLETE
26,0.0,2025-11-26 00:52:05.322865,2025-11-26 00:52:05.333026,0 days 00:00:00.010161,0.26712874073871307,32,0.0017737520315337736,0.2,300,5.433522448246476e-05,4,5,COMPLETE
27,0.0,2025-11-26 00:52:05.333142,2025-11-26 00:52:05.342979,0 days 00:00:00.009837,0.1262036873570118,32,0.004910670753010837,0.0,300,0.00022631534520512739,7,3,COMPLETE
28,0.0,2025-11-26 00:52:05.343095,2025-11-26 00:52:05.353079,0 days 00:00:00.009984,0.4029663382954735,64,0.029474239879378028,0.1,300,2.326749293582804e-05,5,4,COMPLETE
29,0.0,2025-11-26 00:52:05.353190,2025-11-26 00:52:05.363289,0 days 00:00:00.010099,0.21044269041906097,256,0.002840565519095453,0.4,300,8.090348697820682e-05,6,5,COMPLETE
