number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 00:52:05.100946,2025-11-26 00:52:05.105299,0 days 00:00:00.004353,0.21140628144551646,64,0.007408932117666754,0.4,300,3.077881504587862e-05,5,6,COMPLETE
1,0.0,2025-11-26 00:52:05.105450,2025-11-26 00:52:05.107324,0 days 00:00:00.001874,0.020318133645315838,128,0.002405489021260837,0.1,300,0.0017623847801086037,6,6,COMPLETE
2,0.0,2025-11-26 00:52:05.107440,2025-11-26 00:52:05.108925,0 days 00:00:00.001485,0.011751826768525209,128,0.09773847272158465,0.30000000000000004,300,6.622380384845517e-05,3,6,COMPLETE
3,0.0,2025-11-26 00:52:05.109039,2025-11-26 00:52:05.110570,0 days 00:00:00.001531,0.15599517066014842,128,0.005169556349178651,0.4,300,0.0036537696688020245,5,6,COMPLETE
4,0.0,2025-11-26 00:52:05.110674,2025-11-26 00:52:05.112171,0 days 00:00:00.001497,0.014560044219785396,256,0.046247013680285894,0.2,300,0.00012490714845576347,7,4,COMPLETE
5,0.0,2025-11-26 00:52:05.112270,2025-11-26 00:52:05.113691,0 days 00:00:00.001421,0.18796340623870397,64,0.01302076045406494,0.2,300,0.005058285996507893,3,3,COMPLETE
6,0.0,2025-11-26 00:52:05.113791,2025-11-26 00:52:05.115316,0 days 00:00:00.001525,0.09953079984241436,128,0.005296242510263724,0.30000000000000004,300,0.0053428159416242975,4,6,COMPLETE
7,0.0,2025-11-26 00:52:05.115434,2025-11-26 00:52:05.116911,0 days 00:00:00.001477,0.22542461613105994,64,0.014432065845134446,0.4,300,0.0030470234293642554,8,6,COMPLETE
8,0.0,2025-11-26 00:52:05.117007,2025-11-26 00:52:05.118374,0 days 00:00:00.001367,0.36270711711155873,256,0.002974391901917655,0.1,300,0.000573367498904163,7,6,COMPLETE
9,0.0,2025-11-26 00:52:05.118457,2025-11-26 00:52:05.119811,0 days 00:00:00.001354,0.011022156634246123,512,0.012055378752713935,0.5,300,0.008985463285496192,5,4,COMPLETE
10,0.0,2025-11-26 00:52:05.119893,2025-11-26 00:52:05.130927,0 days 00:00:00.011034,0.7989861314885945,32,0.001112162660144204,0.5,300,1.402619608233572e-05,6,5,COMPLETE
11,0.0,2025-11-26 00:52:05.131048,2025-11-26 00:52:05.141460,0 days 00:00:00.010412,0.03905725961978723,64,0.0016651925684944876,0.0,300,0.0007016315923053269,6,5,COMPLETE
12,0.0,2025-11-26 00:52:05.141579,2025-11-26 00:52:05.151206,0 days 00:00:00.009627,0.042922728097829446,512,0.0035556295871615367,0.0,300,1.60746380364024e-05,4,5,COMPLETE
13,0.0,2025-11-26 00:52:05.151329,2025-11-26 00:52:05.161257,0 days 00:00:00.009928,0.05257098390446296,32,0.026805462938456825,0.1,300,0.0014693000354979256,6,5,COMPLETE
14,0.0,2025-11-26 00:52:05.161369,2025-11-26 00:52:05.170900,0 days 00:00:00.009531,0.5469258851702714,64,0.0018505366747563433,0.4,300,0.00015046014410414997,5,3,COMPLETE
15,0.0,2025-11-26 00:52:05.171009,2025-11-26 00:52:05.180693,0 days 00:00:00.009684,0.08048905531806771,128,0.006705879000208041,0.1,300,2.7121804514672217e-05,7,6,COMPLETE
16,0.0,2025-11-26 00:52:05.180801,2025-11-26 00:52:05.190166,0 days 00:00:00.009365,0.0221683609037824,128,0.002601589192871692,0.2,300,0.0004271644287913041,4,4,COMPLETE
17,0.0,2025-11-26 00:52:05.190274,2025-11-26 00:52:05.199638,0 days 00:00:00.009364,0.028681157854754384,64,0.008031783939496284,0.30000000000000004,300,0.0014274467837641503,8,5,COMPLETE
18,0.0,2025-11-26 00:52:05.199747,2025-11-26 00:52:05.209627,0 days 00:00:00.009880,0.07277350769021636,32,0.023305152188506317,0.4,300,4.5649358340914155e-05,5,6,COMPLETE
19,0.0,2025-11-26 00:52:05.209734,2025-11-26 00:52:05.219520,0 days 00:00:00.009786,0.31481309338424374,256,0.0010135790959956812,0.1,300,0.0002562601767639654,6,5,COMPLETE
20,0.0,2025-11-26 00:52:05.219633,2025-11-26 00:52:05.229547,0 days 00:00:00.009914,0.1371223855195694,512,0.004016880368529823,0.0,300,0.0012012549753508187,7,6,COMPLETE
21,0.0,2025-11-26 00:52:05.229652,2025-11-26 00:52:05.239493,0 days 00:00:00.009841,0.019929814980938584,128,0.08518809253747212,0.30000000000000004,300,6.94715257406619e-05,3,6,COMPLETE
22,0.0,2025-11-26 00:52:05.239626,2025-11-26 00:52:05.249695,0 days 00:00:00.010069,0.01456478919742938,128,0.06470525632234028,0.30000000000000004,300,4.8302656255300996e-05,3,6,COMPLETE
23,0.0,2025-11-26 00:52:05.249800,2025-11-26 00:52:05.260036,0 days 00:00:00.010236,0.010962720208065114,128,0.02027843199644883,0.5,300,9.444255019097159e-05,4,6,COMPLETE
24,0.0,2025-11-26 00:52:05.260145,2025-11-26 00:52:05.270341,0 days 00:00:00.010196,0.02704136763282146,128,0.04341678705585035,0.2,300,0.00021804582702049502,4,5,COMPLETE
25,0.0,2025-11-26 00:52:05.270443,2025-11-26 00:52:05.280475,0 days 00:00:00.010032,0.2933780514064625,64,0.007958777756122245,0.4,300,3.210219711948369e-05,3,6,COMPLETE
26,0.0,2025-11-26 00:52:05.280580,2025-11-26 00:52:05.290467,0 days 00:00:00.009887,0.016252976467390535,128,0.0021358818562706235,0.30000000000000004,300,2.7307495105045488e-05,5,5,COMPLETE
27,0.0,2025-11-26 00:52:05.290579,2025-11-26 00:52:05.300845,0 days 00:00:00.010266,0.0571508008476206,128,0.030196386435874925,0.2,300,6.900606572300756e-05,6,6,COMPLETE
28,0.0,2025-11-26 00:52:05.300953,2025-11-26 00:52:05.311753,0 days 00:00:00.010800,0.033599546517448904,64,0.09639919848410883,0.4,300,1.2427417096818131e-05,5,4,COMPLETE
29,0.0,2025-11-26 00:52:05.311861,2025-11-26 00:52:05.322630,0 days 00:00:00.010769,0.12848085353195643,128,0.004590711540557785,0.4,300,0.00017345309055724902,4,6,COMPLETE
