number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 00:52:11.027458,2025-11-26 00:52:11.031621,0 days 00:00:00.004163,0.024172607982336485,512,0.041641144527531274,0.2,300,1.6982252763219586e-05,7,6,COMPLETE
1,0.0,2025-11-26 00:52:11.031766,2025-11-26 00:52:11.033572,0 days 00:00:00.001806,0.13065726844017664,64,0.0034928406680119176,0.0,300,0.0002791626465278577,3,4,COMPLETE
2,0.0,2025-11-26 00:52:11.033687,2025-11-26 00:52:11.035100,0 days 00:00:00.001413,0.014835833769246064,256,0.00450009093900017,0.2,300,6.657795688242137e-05,7,5,COMPLETE
3,0.0,2025-11-26 00:52:11.035205,2025-11-26 00:52:11.036639,0 days 00:00:00.001434,0.02778220252436518,64,0.07241705213923794,0.5,300,0.007663466826260897,3,5,COMPLETE
4,0.0,2025-11-26 00:52:11.036739,2025-11-26 00:52:11.038126,0 days 00:00:00.001387,0.6700114801774657,512,0.003964457463530055,0.30000000000000004,300,0.0011825642875289836,3,6,COMPLETE
5,0.0,2025-11-26 00:52:11.038221,2025-11-26 00:52:11.039643,0 days 00:00:00.001422,0.02115736682838739,64,0.0036735027389482953,0.0,300,0.00016149043494936068,4,5,COMPLETE
6,0.0,2025-11-26 00:52:11.039742,2025-11-26 00:52:11.041213,0 days 00:00:00.001471,0.014433853261763345,256,0.05230504482689495,0.4,300,0.000169447855598644,5,3,COMPLETE
7,0.0,2025-11-26 00:52:11.041329,2025-11-26 00:52:11.042779,0 days 00:00:00.001450,0.0256980941372924,32,0.002428062329463817,0.0,300,4.6223643139156644e-05,8,4,COMPLETE
8,0.0,2025-11-26 00:52:11.042876,2025-11-26 00:52:11.044240,0 days 00:00:00.001364,0.3010332630344868,256,0.002093160389230871,0.5,300,0.0011126485230513875,6,4,COMPLETE
9,0.0,2025-11-26 00:52:11.044324,2025-11-26 00:52:11.045659,0 days 00:00:00.001335,0.039904923825639683,64,0.005034841595808898,0.1,300,1.1846492469379873e-05,7,5,COMPLETE
10,0.0,2025-11-26 00:52:11.045741,2025-11-26 00:52:11.056455,0 days 00:00:00.010714,0.07332927759728727,128,0.023026836155424543,0.2,300,1.2037563454173137e-05,8,6,COMPLETE
11,0.0,2025-11-26 00:52:11.056577,2025-11-26 00:52:11.065848,0 days 00:00:00.009271,0.1647193770753273,512,0.013985572345632257,0.1,300,0.0006545507545378357,5,3,COMPLETE
12,0.0,2025-11-26 00:52:11.065954,2025-11-26 00:52:11.075171,0 days 00:00:00.009217,0.08256982370753395,512,0.0011024347367411713,0.30000000000000004,300,0.004948488942427073,6,4,COMPLETE
13,0.0,2025-11-26 00:52:11.075287,2025-11-26 00:52:11.084486,0 days 00:00:00.009199,0.15382212713777577,128,0.010406794990207774,0.1,300,4.108107869052736e-05,4,6,COMPLETE
14,0.0,2025-11-26 00:52:11.084591,2025-11-26 00:52:11.093942,0 days 00:00:00.009351,0.052865632157046295,32,0.02996985117045093,0.0,300,0.00036699987659154486,7,4,COMPLETE
15,0.0,2025-11-26 00:52:11.094053,2025-11-26 00:52:11.103346,0 days 00:00:00.009293,0.2955156647730039,512,0.03799529619879757,0.2,300,0.0026906114651260504,6,3,COMPLETE
16,0.0,2025-11-26 00:52:11.103451,2025-11-26 00:52:11.112643,0 days 00:00:00.009192,0.010235869052187119,64,0.018868562867151325,0.4,300,2.649575062477948e-05,4,6,COMPLETE
17,0.0,2025-11-26 00:52:11.112750,2025-11-26 00:52:11.121941,0 days 00:00:00.009191,0.13720299493859722,64,0.007842956068224334,0.1,300,0.00013749338377178362,5,5,COMPLETE
18,0.0,2025-11-26 00:52:11.122042,2025-11-26 00:52:11.131224,0 days 00:00:00.009182,0.31264373736887097,512,0.07608965395333456,0.30000000000000004,300,9.298189403571418e-05,7,4,COMPLETE
19,0.0,2025-11-26 00:52:11.131330,2025-11-26 00:52:11.140852,0 days 00:00:00.009522,0.04139222868539575,128,0.001090939848718183,0.0,300,0.0003744749972179204,3,3,COMPLETE
20,0.0,2025-11-26 00:52:11.140959,2025-11-26 00:52:11.150345,0 days 00:00:00.009386,0.6951511745117288,32,0.008229650734102525,0.4,300,2.6213129135280978e-05,8,6,COMPLETE
21,0.0,2025-11-26 00:52:11.150454,2025-11-26 00:52:11.159979,0 days 00:00:00.009525,0.010154267240329366,256,0.002294492619291764,0.2,300,6.887682538274548e-05,7,5,COMPLETE
22,0.0,2025-11-26 00:52:11.160086,2025-11-26 00:52:11.169657,0 days 00:00:00.009571,0.018715653625209303,256,0.004642470584637117,0.2,300,2.3439386582809642e-05,7,5,COMPLETE
23,0.0,2025-11-26 00:52:11.169780,2025-11-26 00:52:11.180330,0 days 00:00:00.010550,0.055689787831242434,256,0.007807957840933129,0.1,300,7.847371930594176e-05,6,4,COMPLETE
24,0.0,2025-11-26 00:52:11.180440,2025-11-26 00:52:11.190612,0 days 00:00:00.010172,0.1096864404713747,512,0.0017340923194049957,0.2,300,2.1352967698525036e-05,8,6,COMPLETE
25,0.0,2025-11-26 00:52:11.190723,2025-11-26 00:52:11.201241,0 days 00:00:00.010518,0.013607754582330656,256,0.00572016665399595,0.30000000000000004,300,5.1130353939732246e-05,7,5,COMPLETE
26,0.0,2025-11-26 00:52:11.201352,2025-11-26 00:52:11.211515,0 days 00:00:00.010163,0.03207402274143234,64,0.0034148928523854696,0.1,300,0.00030641661051089526,6,4,COMPLETE
27,0.0,2025-11-26 00:52:11.211650,2025-11-26 00:52:11.222024,0 days 00:00:00.010374,0.21221105453385997,64,0.01403211937614449,0.2,300,0.00020326671360898282,5,5,COMPLETE
28,0.0,2025-11-26 00:52:11.222132,2025-11-26 00:52:11.232542,0 days 00:00:00.010410,0.017025776481323127,256,0.0016556250323739733,0.0,300,1.0672160641597196e-05,4,6,COMPLETE
29,0.0,2025-11-26 00:52:11.232649,2025-11-26 00:52:11.242783,0 days 00:00:00.010134,0.028315004608787796,512,0.09637451294791045,0.5,300,0.0008307228754282271,3,5,COMPLETE
