number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 00:52:10.819125,2025-11-26 00:52:10.823018,0 days 00:00:00.003893,0.12104419720042706,256,0.002522283591103837,0.2,300,0.0013058052630522717,6,3,COMPLETE
1,0.0,2025-11-26 00:52:10.823144,2025-11-26 00:52:10.824904,0 days 00:00:00.001760,0.011156443770066688,512,0.0012249306342504852,0.2,300,0.008119603547226217,4,4,COMPLETE
2,0.0,2025-11-26 00:52:10.825022,2025-11-26 00:52:10.826437,0 days 00:00:00.001415,0.07823371114723747,128,0.011853001721778679,0.5,300,0.0008724668556678122,8,6,COMPLETE
3,0.0,2025-11-26 00:52:10.826552,2025-11-26 00:52:10.827968,0 days 00:00:00.001416,0.03754069096580122,64,0.012155138281454331,0.0,300,1.2399023914185979e-05,5,6,COMPLETE
4,0.0,2025-11-26 00:52:10.828066,2025-11-26 00:52:10.829477,0 days 00:00:00.001411,0.8747625370442133,32,0.001517851483313585,0.4,300,4.2964689156068465e-05,7,5,COMPLETE
5,0.0,2025-11-26 00:52:10.829572,2025-11-26 00:52:10.830985,0 days 00:00:00.001413,0.03743896848842849,64,0.042371010145785704,0.0,300,0.006610597586019405,7,3,COMPLETE
6,0.0,2025-11-26 00:52:10.831082,2025-11-26 00:52:10.832571,0 days 00:00:00.001489,0.016239883425582972,256,0.021034930631295204,0.1,300,3.1945080355721826e-05,7,6,COMPLETE
7,0.0,2025-11-26 00:52:10.832689,2025-11-26 00:52:10.834147,0 days 00:00:00.001458,0.0542116080045962,256,0.022363909066027452,0.5,300,0.0003444142523199904,3,6,COMPLETE
8,0.0,2025-11-26 00:52:10.834242,2025-11-26 00:52:10.835578,0 days 00:00:00.001336,0.0831910827260391,64,0.0028373869778301436,0.5,300,0.005409122349099262,7,5,COMPLETE
9,0.0,2025-11-26 00:52:10.835662,2025-11-26 00:52:10.837017,0 days 00:00:00.001355,0.14041786912676016,256,0.0288569510999684,0.0,300,0.0003765297952358796,4,5,COMPLETE
10,0.0,2025-11-26 00:52:10.837098,2025-11-26 00:52:10.846968,0 days 00:00:00.009870,0.2884966849076366,32,0.004412521783064209,0.30000000000000004,300,0.0015257009247060414,5,3,COMPLETE
11,0.0,2025-11-26 00:52:10.847072,2025-11-26 00:52:10.856027,0 days 00:00:00.008955,0.011276514316852435,512,0.0010430546337007413,0.2,300,0.002316311046407494,3,4,COMPLETE
12,0.0,2025-11-26 00:52:10.856123,2025-11-26 00:52:10.865031,0 days 00:00:00.008908,0.20841592185766963,512,0.0034818836253309284,0.2,300,0.009750915941551929,4,4,COMPLETE
13,0.0,2025-11-26 00:52:10.865147,2025-11-26 00:52:10.874172,0 days 00:00:00.009025,0.399225146972015,512,0.0018751603066132184,0.30000000000000004,300,0.0025822237134774935,6,3,COMPLETE
14,0.0,2025-11-26 00:52:10.874265,2025-11-26 00:52:10.883544,0 days 00:00:00.009279,0.027608182018725155,128,0.005540683574283668,0.1,300,0.0008379995392344344,4,4,COMPLETE
15,0.0,2025-11-26 00:52:10.883642,2025-11-26 00:52:10.892933,0 days 00:00:00.009291,0.14759351717298977,256,0.07650608815884227,0.2,300,0.000112346211974523,5,3,COMPLETE
