number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 00:52:05.240880,2025-11-26 00:52:05.244869,0 days 00:00:00.003989,0.0857311416301978,128,0.019949715611039826,0.2,300,0.004105369721359867,3,6,COMPLETE
1,0.0,2025-11-26 00:52:05.245002,2025-11-26 00:52:05.246780,0 days 00:00:00.001778,0.014722425294909634,512,0.005414206457258551,0.5,300,2.9118820136801575e-05,5,3,COMPLETE
2,0.0,2025-11-26 00:52:05.246892,2025-11-26 00:52:05.248358,0 days 00:00:00.001466,0.8450594898583961,256,0.0023943915027989896,0.1,300,0.0023773240449855015,8,6,COMPLETE
3,0.0,2025-11-26 00:52:05.248457,2025-11-26 00:52:05.249875,0 days 00:00:00.001418,0.47647696762165126,128,0.0922613942074851,0.2,300,2.5744234544362826e-05,7,5,COMPLETE
4,0.0,2025-11-26 00:52:05.249974,2025-11-26 00:52:05.251358,0 days 00:00:00.001384,0.4877301587587571,32,0.002237971686548941,0.30000000000000004,300,0.0006361461437739404,7,5,COMPLETE
5,0.0,2025-11-26 00:52:05.251451,2025-11-26 00:52:05.252874,0 days 00:00:00.001423,0.014365001811227598,32,0.04890826564804687,0.0,300,0.0006003513164449215,5,4,COMPLETE
6,0.0,2025-11-26 00:52:05.252971,2025-11-26 00:52:05.254447,0 days 00:00:00.001476,0.4255913578129813,512,0.004191839671573947,0.2,300,0.0016524080153476422,4,4,COMPLETE
7,0.0,2025-11-26 00:52:05.254563,2025-11-26 00:52:05.256019,0 days 00:00:00.001456,0.6196342477161652,128,0.002353913306215729,0.30000000000000004,300,0.009463149899511893,3,3,COMPLETE
8,0.0,2025-11-26 00:52:05.256113,2025-11-26 00:52:05.257461,0 days 00:00:00.001348,0.025032394338152526,128,0.06685486900109247,0.0,300,0.0014758296472336427,3,4,COMPLETE
9,0.0,2025-11-26 00:52:05.257543,2025-11-26 00:52:05.258858,0 days 00:00:00.001315,0.014949201183225116,512,0.012395012366471574,0.5,300,1.0420816905340238e-05,5,6,COMPLETE
10,0.0,2025-11-26 00:52:05.258941,2025-11-26 00:52:05.269556,0 days 00:00:00.010615,0.11347128835175205,64,0.018038582284712282,0.4,300,0.0001197274071353854,3,6,COMPLETE
11,0.0,2025-11-26 00:52:05.269649,2025-11-26 00:52:05.279353,0 days 00:00:00.009704,0.05708943080649947,512,0.006582833144194099,0.5,300,9.095821835749153e-05,6,3,COMPLETE
12,0.0,2025-11-26 00:52:05.279447,2025-11-26 00:52:05.288916,0 days 00:00:00.009469,0.11034099720610492,64,0.02529983792630866,0.4,300,0.009539552046165361,4,5,COMPLETE
