number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,1.4435033202171326,2025-11-26 05:48:50.040524,2025-11-26 06:20:46.475824,0 days 00:31:56.435300,0.16560049175407243,32,0.03804668442859017,1.4463092844357558e-05,0.2,300,3.5711358323366236e-05,0.3401152110872052,9,6,5.825633525848389,,,COMPLETE
1,0.4293696343898773,2025-11-26 06:20:46.476436,2025-11-26 06:32:33.808374,0 days 00:11:47.331938,0.44992383358978205,256,0.009233225593264014,3.063516209936621e-06,0.0,300,0.001026672587052753,0.43721063099440843,5,5,3.8363492488861084,0.566398024559021,,COMPLETE
2,0.6208779036998748,2025-11-26 06:32:33.809087,2025-11-26 06:49:57.628296,0 days 00:17:23.819209,0.021142720087135476,64,0.001845423562618722,6.740151900774214e-06,0.1,300,0.00032789705081808895,0.7489355420036905,10,4,1.2182098627090454,1.2182098627090454,0.9963392615318298,COMPLETE
3,3.603224515914917,2025-11-26 06:49:57.628985,2025-11-26 06:50:10.343884,0 days 00:00:12.714899,0.42931297604495916,256,0.001183611902305593,4.994563196373572e-05,0.4,300,0.00021344599073872878,0.03432445509515664,10,3,3.603224515914917,,,PRUNED
4,1.415529155731201,2025-11-26 06:50:10.344405,2025-11-26 07:09:03.471677,0 days 00:18:53.127272,0.062138826370014784,128,0.09160227657830407,5.254232804883511e-05,0.30000000000000004,300,0.00017859318113289582,0.4330008358460687,8,6,,,,COMPLETE
5,0.34012173414230346,2025-11-26 07:09:03.472571,2025-11-26 07:27:28.665057,0 days 00:18:25.192486,0.012820187254968208,64,0.046957658558563466,9.918291241086007e-06,0.5,300,0.000972901030293455,0.09735128804563617,10,5,,,,COMPLETE
6,0.5663976669311523,2025-11-26 07:27:28.665657,2025-11-26 07:47:38.488334,0 days 00:20:09.822677,0.013191741795279236,64,0.004675315741896451,4.632916750248655e-05,0.5,300,0.00039798038335211593,0.017098441308312794,4,4,1.1112135648727417,0.5202620625495911,,COMPLETE
7,0.3252752959728241,2025-11-26 07:47:38.489139,2025-11-26 08:03:37.588054,0 days 00:15:59.098915,0.07114933154435875,32,0.003948887845997752,1.4562345118282057e-05,0.1,300,0.0052448049546572695,0.026796685171567566,9,7,0.33386701345443726,0.33386701345443726,,COMPLETE
8,5.37396240234375,2025-11-26 08:03:37.588411,2025-11-26 08:04:15.751829,0 days 00:00:38.163418,0.7830378269000325,256,0.004786831456544843,2.4453897143894095e-06,0.2,300,3.250035762441822e-05,0.09176938090273737,10,5,5.37396240234375,,,PRUNED
9,2.7237229347229004,2025-11-26 08:04:15.752127,2025-11-26 08:04:34.072454,0 days 00:00:18.320327,0.09956509123588202,64,0.0015719617953984491,4.382267015755594e-06,0.4,300,0.0008182150885123914,0.09061347592330732,5,7,2.7237229347229004,,,PRUNED
