number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,2.5947999477386476,2025-11-26 05:48:50.093650,2025-11-26 06:05:19.203214,0 days 00:16:29.109564,0.010473803189814768,512,0.01627450447624995,4.242778493742126e-06,0.30000000000000004,300,4.543568916696318e-05,0.07360400010680748,8,4,4.793300628662109,4.793300628662109,,COMPLETE
1,3.2507904291152956,2025-11-26 06:05:19.204100,2025-11-26 06:17:37.094029,0 days 00:12:17.889929,0.8372765251231769,512,0.005178930689682427,2.5686714858756316e-06,0.0,300,1.8773007616600657e-05,0.8453503637107755,4,6,1.445462703704834,1.445462703704834,,COMPLETE
2,2.8411972522735596,2025-11-26 06:17:37.106074,2025-11-26 06:17:56.615352,0 days 00:00:19.509278,0.7189685089431406,64,0.0811221837629183,3.915374237058328e-06,0.4,300,0.0006833901421655774,0.09807691737250576,7,6,2.8411972522735596,,,PRUNED
3,0.30719398260116576,2025-11-26 06:17:56.615896,2025-11-26 06:30:07.295266,0 days 00:12:10.679370,0.12982670893729809,128,0.03281903905215981,1.5160098793377895e-05,0.2,300,0.005101995250540661,0.02503547270477529,6,7,0.5188986659049988,0.35634005069732666,,COMPLETE
4,4.2816925048828125,2025-11-26 06:30:07.295894,2025-11-26 06:30:30.383292,0 days 00:00:23.087398,0.2019183313523167,32,0.0020310344868928634,4.4531708598750785e-06,0.2,300,1.5436957057978996e-05,0.4849155615778473,7,4,4.2816925048828125,,,PRUNED
5,0.35981547832489014,2025-11-26 06:30:30.383932,2025-11-26 06:31:14.553405,0 days 00:00:44.169473,0.18726788277385398,128,0.018140405857049718,1.6452044182566024e-06,0.30000000000000004,300,0.005493115283924581,0.2425334981055459,8,6,0.9330829977989197,0.35981547832489014,,PRUNED
6,4.9841694831848145,2025-11-26 06:31:14.553785,2025-11-26 06:31:28.838606,0 days 00:00:14.284821,0.1473016151328353,256,0.028289348291705655,1.1764251508648065e-05,0.4,300,0.0007216522800597324,0.750028178992189,8,5,4.9841694831848145,,,PRUNED
7,0.7229163408279419,2025-11-26 06:31:28.838899,2025-11-26 06:54:48.212976,0 days 00:23:19.374077,0.10588070498085538,128,0.006375972204344511,1.1569356408869572e-05,0.0,300,7.662241981690651e-05,0.01295364255360761,5,5,5.041843891143799,2.8787431716918945,,COMPLETE
8,0.39591864347457884,2025-11-26 06:54:48.213609,2025-11-26 07:21:52.812843,0 days 00:27:04.599234,0.014100527604525147,64,0.03769199132607035,2.6924721372590177e-05,0.30000000000000004,300,0.00021195071176150903,0.45311212312504123,6,3,0.6602072715759277,0.41922932863235474,,COMPLETE
9,5.251456260681152,2025-11-26 07:21:52.813369,2025-11-26 07:22:16.399834,0 days 00:00:23.586465,0.11571897337720075,32,0.003953673568385847,2.5755728074442874e-05,0.5,300,1.3795827578209494e-05,0.1512388639224292,8,5,5.251456260681152,,,PRUNED
