number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 00:52:11.082750,2025-11-26 00:52:11.087046,0 days 00:00:00.004296,0.03916807859417736,64,0.03146205305505664,0.0,300,0.0015392656580652552,3,5,COMPLETE
1,0.0,2025-11-26 00:52:11.087206,2025-11-26 00:52:11.089106,0 days 00:00:00.001900,0.016974407519600245,512,0.017867503825844726,0.2,300,0.008945513524012794,3,3,COMPLETE
2,0.0,2025-11-26 00:52:11.089230,2025-11-26 00:52:11.090687,0 days 00:00:00.001457,0.02147591056751392,128,0.0032496530854220166,0.5,300,0.002872566705974408,7,4,COMPLETE
3,0.0,2025-11-26 00:52:11.090796,2025-11-26 00:52:11.092232,0 days 00:00:00.001436,0.06599110595351024,512,0.0010107837610180475,0.30000000000000004,300,0.004947465528659009,5,6,COMPLETE
4,0.0,2025-11-26 00:52:11.092332,2025-11-26 00:52:11.093727,0 days 00:00:00.001395,0.023247442638712316,128,0.0019923758026149352,0.4,300,0.00047378710390480504,4,3,COMPLETE
5,0.0,2025-11-26 00:52:11.093823,2025-11-26 00:52:11.095212,0 days 00:00:00.001389,0.49228375343773156,512,0.004025954282096981,0.2,300,0.003603075622117382,5,4,COMPLETE
6,0.0,2025-11-26 00:52:11.095311,2025-11-26 00:52:11.096801,0 days 00:00:00.001490,0.2980587116976984,256,0.09871176950353698,0.5,300,0.00018860331306176124,8,3,COMPLETE
7,0.0,2025-11-26 00:52:11.096919,2025-11-26 00:52:11.098351,0 days 00:00:00.001432,0.47130433657172405,256,0.0016939591500051826,0.0,300,0.0027314339621858446,4,4,COMPLETE
8,0.0,2025-11-26 00:52:11.098445,2025-11-26 00:52:11.099787,0 days 00:00:00.001342,0.1040996435245781,32,0.006160197324559812,0.0,300,0.000137957260957943,6,5,COMPLETE
9,0.0,2025-11-26 00:52:11.099868,2025-11-26 00:52:11.101191,0 days 00:00:00.001323,0.9191465921295062,512,0.006095186789375972,0.4,300,0.0002810595647179277,4,6,COMPLETE
10,0.0,2025-11-26 00:52:11.101272,2025-11-26 00:52:11.111781,0 days 00:00:00.010509,0.059301776793585864,64,0.022182669260728642,0.1,300,1.365979537891267e-05,3,5,COMPLETE
11,0.0,2025-11-26 00:52:11.111873,2025-11-26 00:52:11.121198,0 days 00:00:00.009325,0.01063672820797653,64,0.023436195134643522,0.2,300,0.001338567517366282,3,5,COMPLETE
12,0.0,2025-11-26 00:52:11.121288,2025-11-26 00:52:11.130529,0 days 00:00:00.009241,0.026828531550078413,64,0.019917943659449242,0.1,300,0.007278635784373143,3,3,COMPLETE
13,0.0,2025-11-26 00:52:11.130624,2025-11-26 00:52:11.139834,0 days 00:00:00.009210,0.010327919213147078,32,0.05822187120442053,0.1,300,0.0011640905190049345,3,5,COMPLETE
14,0.0,2025-11-26 00:52:11.139938,2025-11-26 00:52:11.149428,0 days 00:00:00.009490,0.04954054134165093,64,0.012530192145785664,0.0,300,0.009033210595233817,4,4,COMPLETE
15,0.0,2025-11-26 00:52:11.149534,2025-11-26 00:52:11.158806,0 days 00:00:00.009272,0.1778801681036824,512,0.03560943746604664,0.30000000000000004,300,0.0008882089606943117,6,6,COMPLETE
16,0.0,2025-11-26 00:52:11.158916,2025-11-26 00:52:11.168258,0 days 00:00:00.009342,0.02885561069081143,64,0.012064824472964109,0.2,300,6.5502774010951e-05,5,3,COMPLETE
17,0.0,2025-11-26 00:52:11.168372,2025-11-26 00:52:11.178674,0 days 00:00:00.010302,0.015623242965653662,512,0.047300515500641835,0.1,300,0.00196717420959923,3,4,COMPLETE
18,0.0,2025-11-26 00:52:11.178788,2025-11-26 00:52:11.188993,0 days 00:00:00.010205,0.03938641265514615,32,0.09823013972280537,0.30000000000000004,300,0.0005768389778186771,4,5,COMPLETE
19,0.0,2025-11-26 00:52:11.189108,2025-11-26 00:52:11.199282,0 days 00:00:00.010174,0.09363178471994595,256,0.029707379877995852,0.0,300,6.351007659945349e-05,8,6,COMPLETE
20,0.0,2025-11-26 00:52:11.199399,2025-11-26 00:52:11.209489,0 days 00:00:00.010090,0.016489021660403353,128,0.01646103052345336,0.4,300,0.0055429467982690914,7,3,COMPLETE
21,0.0,2025-11-26 00:52:11.209609,2025-11-26 00:52:11.219503,0 days 00:00:00.009894,0.018357986898775415,128,0.006522798487317683,0.5,300,0.002367502841201321,7,4,COMPLETE
22,0.0,2025-11-26 00:52:11.219628,2025-11-26 00:52:11.229745,0 days 00:00:00.010117,0.03799856971914112,128,0.002648342983450845,0.5,300,0.009900009295656199,7,4,COMPLETE
23,0.0,2025-11-26 00:52:11.229857,2025-11-26 00:52:11.239722,0 days 00:00:00.009865,0.014741864159270325,128,0.00947079019641526,0.2,300,0.004454719890903064,6,5,COMPLETE
24,0.0,2025-11-26 00:52:11.239827,2025-11-26 00:52:11.249815,0 days 00:00:00.009988,0.03541438726932095,128,0.00846137980899462,0.4,300,0.0019855289706207004,7,3,COMPLETE
25,0.0,2025-11-26 00:52:11.249918,2025-11-26 00:52:11.260196,0 days 00:00:00.010278,0.022546273154342874,512,0.003621050526939693,0.30000000000000004,300,0.0007161442305252487,8,4,COMPLETE
26,0.0,2025-11-26 00:52:11.260304,2025-11-26 00:52:11.270474,0 days 00:00:00.010170,0.09541570217278786,64,0.053213036845275126,0.1,300,0.0015441419163735475,5,5,COMPLETE
27,0.0,2025-11-26 00:52:11.270595,2025-11-26 00:52:11.280438,0 days 00:00:00.009843,0.012795450198059255,128,0.0010164435981976632,0.2,300,0.002743953586673819,3,4,COMPLETE
28,0.0,2025-11-26 00:52:11.280546,2025-11-26 00:52:11.290497,0 days 00:00:00.009951,0.022140156994552945,64,0.004164862351414459,0.4,300,0.0040193939930088,6,3,COMPLETE
29,0.0,2025-11-26 00:52:11.290610,2025-11-26 00:52:11.300842,0 days 00:00:00.010232,0.0550916477308327,512,0.01587025192018811,0.30000000000000004,300,0.005754140079300959,5,5,COMPLETE
