number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 00:52:10.886122,2025-11-26 00:52:10.890233,0 days 00:00:00.004111,0.1317051616268143,64,0.01794888372948601,0.0,300,0.0015208925676485783,5,3,COMPLETE
1,0.0,2025-11-26 00:52:10.890364,2025-11-26 00:52:10.892162,0 days 00:00:00.001798,0.2001087533435016,128,0.014732929310004963,0.4,300,0.004389596026739513,8,6,COMPLETE
2,0.0,2025-11-26 00:52:10.892265,2025-11-26 00:52:10.893679,0 days 00:00:00.001414,0.10954409413723827,256,0.017866938086794543,0.5,300,3.530760438843822e-05,6,5,COMPLETE
3,0.0,2025-11-26 00:52:10.893780,2025-11-26 00:52:10.895257,0 days 00:00:00.001477,0.059517720153354096,32,0.010166802093121461,0.4,300,5.4566529432118384e-05,6,5,COMPLETE
4,0.0,2025-11-26 00:52:10.895357,2025-11-26 00:52:10.896768,0 days 00:00:00.001411,0.05492352018916134,32,0.004522157094184509,0.30000000000000004,300,0.0009899843722880309,4,6,COMPLETE
5,0.0,2025-11-26 00:52:10.896862,2025-11-26 00:52:10.898264,0 days 00:00:00.001402,0.6140724028892698,512,0.01235345518711795,0.1,300,0.0002928208564648641,6,4,COMPLETE
6,0.0,2025-11-26 00:52:10.898360,2025-11-26 00:52:10.899795,0 days 00:00:00.001435,0.01180512860286268,512,0.009907734722853527,0.0,300,0.001457512223628802,5,3,COMPLETE
7,0.0,2025-11-26 00:52:10.899909,2025-11-26 00:52:10.901318,0 days 00:00:00.001409,0.08636757594037571,64,0.003839969336922161,0.2,300,9.389259584518127e-05,5,4,COMPLETE
8,0.0,2025-11-26 00:52:10.901414,2025-11-26 00:52:10.902718,0 days 00:00:00.001304,0.04011752419044971,128,0.008646256826769318,0.5,300,0.0003789458948308875,8,4,COMPLETE
9,0.0,2025-11-26 00:52:10.902800,2025-11-26 00:52:10.904097,0 days 00:00:00.001297,0.9745771257406649,64,0.021684691539140002,0.0,300,0.009465074218632514,5,3,COMPLETE
