number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,93.22915301160538,2025-11-26 05:48:50.265776,2025-11-26 06:06:39.941596,0 days 00:17:49.675820,0.021979420273082344,32,0.05600989515239779,1.6123169421008396e-05,0.5,300,0.000204502188655909,0.03320338252834927,7,3,90.04629629629629,94.21296296296296,,COMPLETE
1,91.93318276973477,2025-11-26 06:06:39.942131,2025-11-26 06:23:37.594346,0 days 00:16:57.652215,0.03938191606248597,256,0.010389604701945051,5.918463890094772e-06,0.0,300,0.0004808487538354023,0.8515291141636726,7,3,89.81481481481481,,,COMPLETE
2,94.66143596918673,2025-11-26 06:23:37.594883,2025-11-26 06:43:43.378609,0 days 00:20:05.783726,0.028710120965862198,32,0.05143323130610453,7.312703165178101e-06,0.30000000000000004,300,0.00010780244737192516,0.11547002880559225,6,6,96.99074074074075,,,COMPLETE
3,35.18518518518518,2025-11-26 06:43:43.379233,2025-11-26 06:44:29.793663,0 days 00:00:46.414430,0.3490751563562074,64,0.056472152925575295,5.5193535924799796e-05,0.5,300,1.759025420063607e-05,0.0992924436004565,4,4,35.18518518518518,,,PRUNED
4,95.48536005822498,2025-11-26 06:44:29.793951,2025-11-26 06:58:15.664605,0 days 00:13:45.870654,0.44161458527761843,64,0.007296424718930664,3.2981580232163506e-05,0.30000000000000004,300,0.003911772294103991,0.14612621823325697,6,3,91.2037037037037,91.2037037037037,,COMPLETE
5,67.12962962962963,2025-11-26 06:58:15.665158,2025-11-26 06:58:54.742654,0 days 00:00:39.077496,0.02737541114874884,128,0.0016155466730879715,1.3803657055379995e-06,0.2,300,6.989344037660265e-05,0.01515227753103062,8,3,67.12962962962963,,,PRUNED
6,90.50925925925925,2025-11-26 06:58:54.742904,2025-11-26 06:59:11.634808,0 days 00:00:16.891904,0.40271716019656223,64,0.005504126910855797,2.5121791064893056e-06,0.2,300,0.008198101078415445,0.4803653052377693,9,4,90.50925925925925,,,PRUNED
7,86.57407407407408,2025-11-26 06:59:11.635196,2025-11-26 07:00:05.567613,0 days 00:00:53.932417,0.027464843592643663,32,0.04688658553064886,2.3245949750392025e-05,0.4,300,0.00031944444663315494,0.02174350377261746,10,4,86.57407407407408,,,PRUNED
8,50.69444444444444,2025-11-26 07:00:05.567936,2025-11-26 07:00:18.467454,0 days 00:00:12.899518,0.013427040229421214,128,0.010444958202965822,2.5134089341010556e-06,0.30000000000000004,300,0.0001940980786721031,0.01899693216666819,9,4,50.69444444444444,,,PRUNED
9,95.33857570012955,2025-11-26 07:00:18.467662,2025-11-26 07:13:38.612277,0 days 00:13:20.144615,0.0858147392593282,32,0.0017534411594715296,4.212781362337504e-06,0.2,300,0.003997571768377633,0.05588193607212077,10,4,93.05555555555556,93.5185185185185,,COMPLETE
