number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,97.11997812444473,2025-11-26 05:48:50.093695,2025-11-26 05:58:01.877958,0 days 00:09:11.784263,0.07807805461856768,128,0.0024664538686397296,7.895888865325263e-05,0.0,300,0.008115063387319198,0.16035777426591838,7,5,,,,COMPLETE
1,90.47727140790008,2025-11-26 05:58:01.878425,2025-11-26 06:13:59.789947,0 days 00:15:57.911522,0.056713883423850406,256,0.03574486319107446,7.630388044004025e-06,0.1,300,0.00041125877615516814,0.4771026202378709,5,4,89.81481481481481,,,COMPLETE
2,97.51774098903243,2025-11-26 06:13:59.790673,2025-11-26 06:30:29.558442,0 days 00:16:29.767769,0.1903694348082266,32,0.0033568686670789804,3.8930015473544634e-05,0.5,300,0.0010216747918665755,0.010553143050801034,7,6,93.75,96.75925925925925,97.68518518518519,COMPLETE
3,0.0,2025-11-26 06:30:29.559003,2025-11-26 06:30:29.860789,0 days 00:00:00.301786,0.04088738060057954,512,0.0015138824226211638,2.2492797950105738e-05,0.0,300,0.00011094477534965228,0.1898886106318781,7,4,,,,COMPLETE
4,73.37962962962963,2025-11-26 06:30:29.861663,2025-11-26 06:30:43.239729,0 days 00:00:13.378066,0.5489201872356332,128,0.0037686509612203,3.1757864889109478e-06,0.4,300,2.7836097708299082e-05,0.7495193405267856,4,3,73.37962962962963,,,PRUNED
5,93.5185185185185,2025-11-26 06:30:43.240016,2025-11-26 06:30:57.436140,0 days 00:00:14.196124,0.07708258456114557,128,0.09262229934759393,3.917845745826615e-06,0.2,300,0.0008825277266601326,0.041335782351526594,7,6,93.5185185185185,,,PRUNED
6,95.35059793968905,2025-11-26 06:30:57.436390,2025-11-26 06:41:10.050422,0 days 00:10:12.614032,0.04177433368482594,128,0.003018340295435259,4.442546972427801e-06,0.30000000000000004,300,0.00010871140736118422,0.8458326242355472,10,6,97.22222222222223,,,COMPLETE
7,97.94354198463103,2025-11-26 06:41:10.050997,2025-11-26 06:48:54.663196,0 days 00:07:44.612199,0.08293778169231152,256,0.028840468810121235,1.3464143383682866e-06,0.2,300,0.006785880918852506,0.08320110044012015,9,5,95.13888888888889,97.68518518518519,98.37962962962963,COMPLETE
8,97.22222222222221,2025-11-26 06:48:54.663980,2025-11-26 06:49:45.715311,0 days 00:00:51.051331,0.03672033128520256,32,0.011643964531407152,1.0340224630577946e-06,0.1,300,0.007040166395680898,0.47218126005896843,4,3,97.22222222222221,97.22222222222221,,PRUNED
9,94.50546212257606,2025-11-26 06:49:45.715493,2025-11-26 07:05:17.610670,0 days 00:15:31.895177,0.01737641874751443,32,0.09036757819987805,2.3894722318786547e-06,0.0,300,0.0001175524389795129,0.04985093722179922,6,4,85.41666666666667,91.43518518518519,,COMPLETE
