number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,,2025-11-26 05:48:50.229489,2025-11-26 06:02:19.876083,0 days 00:13:29.646594,0.32894813333570244,128,0.0259639687625874,1.101287878709179e-06,0.2,300,5.9296974469521e-05,0.21329575729481914,3,6,3.0428318977355957,2.005305528640747,,FAIL
1,,2025-11-26 06:02:19.876695,2025-11-26 06:17:29.897378,0 days 00:15:10.020683,0.17326077010116267,128,0.0028467359299667195,1.8231922133326815e-05,0.30000000000000004,300,0.00021872804029493667,0.24450493380590674,5,6,2.4665236473083496,1.674134373664856,,FAIL
2,,2025-11-26 06:17:29.897919,2025-11-26 06:28:34.855882,0 days 00:11:04.957963,0.5809697615017281,64,0.004818358215355245,4.453866660782636e-05,0.30000000000000004,300,0.0033611871995600415,0.0116781523254599,6,5,1.5942389965057373,1.2987005710601807,1.1029102802276611,FAIL
3,,2025-11-26 06:28:34.856355,2025-11-26 06:41:34.866319,0 days 00:13:00.009964,0.5390249177512089,64,0.0015183420115512133,6.333541117374677e-06,0.5,300,0.0022912504128998483,0.4068645246881303,5,6,1.4174162149429321,1.1443530321121216,,FAIL
4,5.15745735168457,2025-11-26 06:41:34.866952,2025-11-26 06:41:48.947109,0 days 00:00:14.080157,0.012816823184329024,128,0.05469516431433224,4.425878845736298e-05,0.4,300,0.00023246090045058249,0.45012665699451054,10,5,5.15745735168457,,,PRUNED
5,0.0,2025-11-26 06:41:48.947488,2025-11-26 06:41:49.285812,0 days 00:00:00.338324,0.03016190560519217,512,0.07016733805255544,2.153813940723727e-05,0.0,300,0.0009177967040708139,0.01552344946892517,5,4,,,,COMPLETE
6,,2025-11-26 06:41:49.286389,2025-11-26 06:59:25.081090,0 days 00:17:35.794701,0.43890444638023157,64,0.014992749980855593,2.65063946219909e-06,0.0,300,0.00020590931866377527,0.03750309088510159,8,5,1.315873146057129,,,FAIL
7,4.278889179229736,2025-11-26 06:59:25.081689,2025-11-26 06:59:38.489463,0 days 00:00:13.407774,0.06062400687473086,128,0.0055638093742485534,6.717009976977165e-06,0.5,300,7.258683551275212e-05,0.6673649784052822,7,7,4.278889179229736,,,PRUNED
8,,2025-11-26 06:59:38.489887,2025-11-26 07:15:57.770149,0 days 00:16:19.280262,0.014641779536804773,64,0.04684218668263808,2.0990877389696382e-05,0.5,300,0.0005545530604737457,0.010618740996690046,4,7,1.276557445526123,,,FAIL
9,,2025-11-26 07:15:57.770485,2025-11-26 07:28:41.301551,0 days 00:12:43.531066,0.010112828904740797,256,0.017659143372034218,1.3407312228955424e-06,0.4,300,0.003680173096661591,0.6728895463293969,5,6,1.4117016792297363,,,FAIL
