number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,,2025-11-26 05:48:50.208435,2025-11-26 06:13:07.121177,0 days 00:24:16.912742,0.10753799155620095,32,0.05932004912582759,9.518020683039262e-06,0.0,300,0.0002173861107899934,0.0810433949842065,4,4,4.224814414978027,2.326195001602173,1.45797860622406,FAIL
1,0.0,2025-11-26 06:13:07.121607,2025-11-26 06:13:07.438482,0 days 00:00:00.316875,0.06438486046062647,512,0.06952698576981552,1.964586215682923e-05,0.2,300,0.0001271312957799258,0.8234307380804586,10,7,,,,COMPLETE
2,4.553360939025879,2025-11-26 06:13:07.438917,2025-11-26 06:13:27.622768,0 days 00:00:20.183851,0.6602153457456157,32,0.003221413277161269,5.379264845747015e-05,0.1,300,2.408487174671625e-05,0.011307315303983916,6,5,4.553360939025879,,,PRUNED
3,2.4942169189453125,2025-11-26 06:13:27.623037,2025-11-26 06:14:04.616613,0 days 00:00:36.993576,0.0835844005200252,256,0.004561043247195094,1.688578409745375e-05,0.4,300,0.0008673481046484601,0.01121046335870085,5,4,3.4290566444396973,2.4942169189453125,,PRUNED
4,4.203782558441162,2025-11-26 06:14:04.616929,2025-11-26 06:14:21.272902,0 days 00:00:16.655973,0.21596258189074793,64,0.0016109666347667486,2.5585159573175547e-06,0.4,300,1.225729645948462e-05,0.1155614392627378,3,6,4.203782558441162,,,PRUNED
5,,2025-11-26 06:14:21.273186,2025-11-26 06:30:25.837754,0 days 00:16:04.564568,0.010773153831483865,128,0.0019755278989906674,2.6263173354823802e-06,0.2,300,0.0012125382823883679,0.7227864707126972,10,6,1.1426730155944824,,,FAIL
6,0.0,2025-11-26 06:30:25.838439,2025-11-26 06:30:26.237732,0 days 00:00:00.399293,0.9982263773707692,512,0.03002063974222246,2.257412250112578e-05,0.2,300,0.0017675869533943138,0.10687572739085689,5,6,,,,COMPLETE
7,,2025-11-26 06:30:26.238486,2025-11-26 06:56:52.759807,0 days 00:26:26.521321,0.5427546641877582,32,0.011526719747594926,8.256871633677477e-06,0.5,300,0.00017222473713995027,0.2767991984876253,4,7,1.9133861064910889,1.3626625537872314,0.9959245920181274,FAIL
8,0.0,2025-11-26 06:56:52.760279,2025-11-26 06:56:53.048332,0 days 00:00:00.288053,0.03152005738075775,512,0.0014925592829942822,1.169796316359034e-05,0.30000000000000004,300,1.6967413716517823e-05,0.4352851207306341,7,5,,,,COMPLETE
9,1.9845949411392212,2025-11-26 06:56:53.048898,2025-11-26 06:57:47.337101,0 days 00:00:54.288203,0.015879838182356706,32,0.01573432036920693,7.3514826188270964e-06,0.30000000000000004,300,0.0003698976506168583,0.027012680664543463,4,3,2.735372304916382,1.9845949411392212,,PRUNED
10,,2025-11-26 06:57:47.337416,2025-11-26 07:11:20.526723,0 days 00:13:33.189307,0.6815524056791663,64,0.05401618247905144,3.3904079132348682e-06,0.5,300,0.004810617031492243,0.5451498430833347,7,6,0.8594972491264343,0.7884628772735596,,FAIL
11,1.3461027145385742,2025-11-26 07:11:20.527193,2025-11-26 07:12:08.551338,0 days 00:00:48.024145,0.6429231872877833,64,0.008448315534049386,3.486579172981772e-05,0.0,300,0.0008763965936181032,0.03044149379411841,8,4,1.3461027145385742,,,PRUNED
12,4.397065162658691,2025-11-26 07:12:08.551786,2025-11-26 07:12:21.359100,0 days 00:00:12.807314,0.017264183831456167,256,0.0879814373629552,3.58061486107039e-05,0.30000000000000004,300,0.00013863545411379685,0.14085132788389945,5,6,4.397065162658691,,,PRUNED
13,3.949864149093628,2025-11-26 07:12:21.359453,2025-11-26 07:12:58.862739,0 days 00:00:37.503286,0.8787765023462139,256,0.0016816643989031076,7.480860151832348e-05,0.1,300,6.815747992891839e-05,0.029400136632675176,4,7,3.949864149093628,,,PRUNED
14,,2025-11-26 07:12:58.862961,2025-11-26 07:24:52.796502,0 days 00:11:53.933541,0.07224101787740268,128,0.07057974271961187,1.0854285985590004e-06,0.5,300,0.0038266719217228207,0.9105319389848056,10,7,1.5283581018447876,0.9444377422332764,0.8761103749275208,FAIL
15,,2025-11-26 07:24:52.796887,2025-11-26 07:36:34.185712,0 days 00:11:41.388825,0.0940427681516373,128,0.08456242108007979,4.291060234465973e-06,0.5,300,0.004346586437522446,0.8877092195519694,10,7,1.6276590824127197,1.0478521585464478,0.8502298593521118,FAIL
16,0.8869980573654175,2025-11-26 07:36:34.186466,2025-11-26 07:38:37.414338,0 days 00:02:03.227872,0.07561772909945709,128,0.07900010254924723,1.0859179908563294e-06,0.5,300,0.008318208632283042,0.8996201863801797,10,7,1.1008567810058594,0.9901505708694458,0.8869980573654175,PRUNED
17,0.0,2025-11-26 07:38:37.414615,2025-11-26 07:38:37.723945,0 days 00:00:00.309330,0.1816192731552584,512,0.03188822672058511,1.931411784730477e-05,0.2,300,0.004616228626207395,0.2733482725533555,10,6,,,,COMPLETE
18,0.0,2025-11-26 07:38:37.724941,2025-11-26 07:38:38.030660,0 days 00:00:00.305719,0.04589371600358667,512,0.03467298885983729,3.898095869096206e-06,0.2,300,0.0013718829623045553,0.9338319156694133,8,7,,,,COMPLETE
