number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0.5088123321533203,2025-11-26 05:48:50.246847,2025-11-26 06:52:14.842144,0 days 01:03:24.595297,0.2948431969497682,32,0.019057548622820292,9.522860054183455e-06,0.4,300,0.008357527132042025,0.11438468871851444,6,5,0.5653946399688721,0.5342190265655518,,COMPLETE
1,0.9023184776306152,2025-11-26 06:52:14.842493,2025-11-26 06:52:43.628591,0 days 00:00:28.786098,0.8659084385988098,128,0.02354602424152647,1.1112456593826433e-05,0.30000000000000004,300,0.0008130332006575148,0.02136118374961324,5,4,0.9023184776306152,,,PRUNED
2,0.8108649253845215,2025-11-26 06:52:43.629138,2025-11-26 06:53:21.679119,0 days 00:00:38.049981,0.012683372424984563,64,0.02092827986383237,5.475733351677477e-05,0.4,300,0.0072536241677947965,0.13715954242328152,3,3,0.8108649253845215,,,PRUNED
3,0.621162474155426,2025-11-26 06:53:21.679362,2025-11-26 06:54:29.129967,0 days 00:01:07.450605,0.012730259908746905,32,0.024317779835270968,1.1404906235218514e-06,0.1,300,6.701120471940834e-05,0.09531357945831151,4,6,0.621162474155426,,,PRUNED
4,0.6399872303009033,2025-11-26 06:54:29.130420,2025-11-26 06:55:07.155412,0 days 00:00:38.024992,0.2097187987963506,64,0.001844420208286851,4.253177933324698e-06,0.1,300,0.0012486376089482273,0.4651351086643137,8,3,0.6399872303009033,,,PRUNED
5,1.3225675821304321,2025-11-26 06:55:07.155761,2025-11-26 06:55:49.593097,0 days 00:00:42.437336,0.17704538378331997,64,0.013612979543088845,2.3985247318097434e-05,0.5,300,4.7064113877711225e-05,0.07177282087305654,4,5,1.3225675821304321,,,PRUNED
6,0.7249609351158142,2025-11-26 06:55:49.593623,2025-11-26 07:39:42.290135,0 days 00:43:52.696512,0.05019637556629481,128,0.03512854763556274,9.736973527711995e-06,0.5,300,6.667955269967439e-05,0.12248696564076375,9,4,1.1562409400939941,0.82624351978302,,COMPLETE
7,1.2063651084899902,2025-11-26 07:39:42.290550,2025-11-26 07:40:28.264954,0 days 00:00:45.974404,0.2816904466542649,64,0.01840395730180431,1.2397859266918516e-05,0.4,300,4.858468008709577e-05,0.22477971117438073,5,7,1.2063651084899902,,,PRUNED
8,3.1079540252685547,2025-11-26 07:40:28.265293,2025-11-26 07:40:55.865896,0 days 00:00:27.600603,0.3343973089338511,128,0.0031541607389895215,3.221500905592433e-06,0.2,300,5.324129986854232e-05,0.18502350540094095,8,4,3.1079540252685547,,,PRUNED
9,0.645255446434021,2025-11-26 07:40:55.866114,2025-11-26 07:41:58.670378,0 days 00:01:02.804264,0.06383818643259327,32,0.09120907198772334,2.8471294956366395e-06,0.1,300,8.140292638497792e-05,0.6352054574285031,3,5,0.645255446434021,,,PRUNED
10,0.6773918271064758,2025-11-26 07:41:58.670564,2025-11-26 07:42:20.968637,0 days 00:00:22.298073,0.9122433798686218,512,0.005713369350484939,8.037680235599587e-05,0.30000000000000004,300,0.00729515993323504,0.010106938578100959,7,7,0.6773918271064758,,,PRUNED
11,3.9229841232299805,2025-11-26 07:42:20.968858,2025-11-26 07:42:43.474895,0 days 00:00:22.506037,0.050719313196932514,256,0.057837332403466064,2.5596619771072083e-05,0.5,300,1.497645000265002e-05,0.04543744357230518,10,4,3.9229841232299805,,,PRUNED
12,0.5045881032943725,2025-11-26 07:42:43.475310,2025-11-26 08:28:07.138155,0 days 00:45:23.662845,0.034355421692739696,128,0.046903671456948556,6.333016441991127e-06,0.4,300,0.00026233114309207804,0.043242425356257205,10,5,0.50633305311203,,,COMPLETE
13,0.4833686649799347,2025-11-26 08:28:07.138785,2025-11-26 10:06:20.823736,0 days 01:38:13.684951,0.03152052491422258,32,0.007413734831917283,5.828730460887831e-06,0.4,300,0.0003467344385694223,0.03747089071396813,6,6,0.5172007083892822,0.4841873049736023,,COMPLETE
14,0.5180714726448059,2025-11-26 10:06:20.824091,2025-11-26 10:10:10.965505,0 days 00:03:50.141414,0.026396926184714176,512,0.0068208406853487325,4.823224858256046e-06,0.30000000000000004,300,0.0002662803420968381,0.034471050541392975,10,6,0.5180714726448059,,,PRUNED
15,0.5627602934837341,2025-11-26 10:10:10.965746,2025-11-26 10:11:23.996115,0 days 00:01:13.030369,0.026457977176845806,256,0.007608714525328264,1.5820517621579905e-06,0.4,300,0.0003247699055552167,0.012536373266058111,7,6,0.5627602934837341,,,PRUNED
16,0.4946629822254181,2025-11-26 10:11:23.996487,2025-11-26 10:37:33.207605,0 days 00:26:09.211118,0.028916843628582427,128,0.0026452376281256586,6.189628018880343e-06,0.0,300,0.0014581223038973433,0.030719713970952165,6,6,0.5394035577774048,0.5021769404411316,0.4959748685359955,COMPLETE
17,0.4773169159889221,2025-11-26 10:37:33.208028,2025-11-26 11:26:59.831378,0 days 00:49:26.623350,0.08643387691727515,32,0.0032939193683827125,2.064057496272735e-06,0.0,300,0.0016684048855971933,0.02164410974247962,6,6,,,,COMPLETE
18,0.5208379626274109,2025-11-26 11:26:59.831737,2025-11-26 11:30:12.917575,0 days 00:03:13.085838,0.10429602256240889,32,0.0010774031056896161,1.9707816410666607e-06,0.0,300,0.0027640155056628747,0.017093871724654423,5,7,0.523543655872345,0.5208379626274109,,PRUNED
19,0.5247154235839844,2025-11-26 11:30:12.917794,2025-11-26 11:33:38.106969,0 days 00:03:25.189175,0.08996312875012347,32,0.004561001709613201,1.9828361200547874e-06,0.2,300,0.0005897028037941465,0.022346658842491363,8,6,0.5247154235839844,,,PRUNED
20,0.5346410274505615,2025-11-26 11:33:38.107347,2025-11-26 11:37:17.061793,0 days 00:03:38.954446,0.11162609558470789,32,0.011851432770465775,2.3216206153659874e-05,0.2,300,0.0027496018260865967,0.05912856786048845,6,7,0.5346410274505615,,,PRUNED
21,0.5077990889549255,2025-11-26 11:37:17.062150,2025-11-26 11:47:16.842896,0 days 00:09:59.780746,0.018579973698270587,32,0.0027503949371679515,6.0490162036466025e-06,0.0,300,0.0018860908258786133,0.029015140203091812,6,6,0.5077990889549255,,,PRUNED
22,0.5258618593215942,2025-11-26 11:47:16.843317,2025-11-26 11:51:42.455881,0 days 00:04:25.612564,0.03538745263840549,128,0.003446770354065992,1.0120663257623952e-06,0.0,300,0.0005434388182619015,0.015343418294843834,7,6,0.5258618593215942,,,PRUNED
23,0.6367899775505066,2025-11-26 11:51:42.456197,2025-11-26 11:52:55.004955,0 days 00:01:12.548758,0.01793896728065815,32,0.00190890625849455,3.82205911303232e-06,0.1,300,0.00015920514120178658,0.02587924748205541,6,6,0.6367899775505066,,,PRUNED
24,0.5085657835006714,2025-11-26 11:52:55.005220,2025-11-26 11:56:41.016978,0 days 00:03:46.011758,0.07681926233831751,256,0.0010536409866418117,2.5264593236659405e-06,0.0,300,0.004251172499025671,0.054418562152100204,5,7,0.5242993235588074,0.5085657835006714,,PRUNED
25,0.5619181990623474,2025-11-26 11:56:41.017342,2025-11-26 11:57:47.910071,0 days 00:01:06.892729,0.04053240607612397,512,0.0019273165407406735,7.144605946975877e-06,0.0,300,0.001241960684362225,0.03309106233294396,4,6,0.5619181990623474,,,PRUNED
26,0.5093761086463928,2025-11-26 11:57:47.910260,2025-11-26 11:59:18.957497,0 days 00:01:31.047237,0.14891179238076171,128,0.00972087338914064,1.60157807602528e-05,0.1,300,0.0009848271672503752,0.017171392333185827,7,5,0.5660553574562073,0.5093761086463928,,PRUNED
27,0.5334682464599609,2025-11-26 11:59:18.957879,2025-11-26 12:02:58.425927,0 days 00:03:39.468048,0.01956459981647833,32,0.004591290754177708,1.5046459105510983e-06,0.2,300,0.00044057443807436536,0.07446420017918826,6,5,0.5334682464599609,,,PRUNED
28,0.6312901973724365,2025-11-26 12:02:58.426307,2025-11-26 12:04:18.387480,0 days 00:01:19.961173,0.010338146298545549,32,0.0023992176700128806,5.186958985940492e-06,0.0,300,0.00012459517581242492,0.03916719379545189,5,6,0.6312901973724365,,,PRUNED
29,0.5388762950897217,2025-11-26 12:04:18.387896,2025-11-26 12:08:19.103932,0 days 00:04:00.716036,0.06072399176279122,32,0.0040508810599659655,7.458239632767978e-06,0.30000000000000004,300,0.002119585942236692,0.010056658538075313,6,7,0.5611847639083862,0.5388762950897217,,PRUNED
