number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0.5001876890659332,2025-11-26 05:48:49.923811,2025-11-26 07:21:50.862953,0 days 01:33:00.939142,0.026519286043291266,32,0.004592253677544802,1.1317345114982494e-05,0.0,300,0.00010381806060231603,0.010630119247491777,6,3,0.5514792203903198,,,COMPLETE
1,0.45626385807991027,2025-11-26 07:21:50.863283,2025-11-26 08:16:48.057731,0 days 00:54:57.194448,0.02408742862042817,32,0.016664036066625594,1.217176463242681e-06,0.4,300,0.002059598873668011,0.7592059442054684,5,5,0.5127288699150085,0.46835166215896606,,COMPLETE
2,0.925726342201233,2025-11-26 08:16:48.058246,2025-11-26 09:01:43.969535,0 days 00:44:55.911289,0.010779911328828605,128,0.028261093879518147,8.090196962380962e-05,0.2,300,1.56179398942627e-05,0.27790082313183023,6,4,2.0858662128448486,1.1884418725967407,,COMPLETE
3,0.4515459477901459,2025-11-26 09:01:43.969901,2025-11-26 09:57:50.136397,0 days 00:56:06.166496,0.21933732447811097,64,0.01287905350869107,2.0803579727852377e-06,0.1,300,0.0005407402510180284,0.08490731272556293,3,5,0.48704344034194946,0.45650380849838257,0.4467572271823883,COMPLETE
4,0.4553058385848999,2025-11-26 09:57:50.136791,2025-11-26 10:25:27.293426,0 days 00:27:37.156635,0.7204580235421425,256,0.016109025118288968,4.5510923581451385e-05,0.2,300,0.0011181821404302442,0.07308088928493293,9,6,0.4800933599472046,0.44910964369773865,,COMPLETE
5,0.5448919534683228,2025-11-26 10:25:27.293840,2025-11-26 10:28:50.413145,0 days 00:03:23.119305,0.032168048074506336,32,0.0013965130690377925,5.80080995828963e-06,0.5,300,0.00040258014711609766,0.04066597651356544,4,6,0.5448919534683228,,,PRUNED
6,1.288741946220398,2025-11-26 10:28:50.413624,2025-11-26 10:29:48.145336,0 days 00:00:57.731712,0.03514973346423306,512,0.002221366382249156,5.3195880563972536e-05,0.5,300,0.0001048956597026562,0.02759311514586078,5,5,1.288741946220398,,,PRUNED
7,0.8727788925170898,2025-11-26 10:29:48.145830,2025-11-26 10:30:06.914523,0 days 00:00:18.768693,0.12667981701586828,512,0.0012669213919052499,3.378512005303597e-06,0.30000000000000004,300,0.0004500601275323753,0.02182653612343383,9,3,0.8727788925170898,,,PRUNED
8,0.5680298805236816,2025-11-26 10:30:06.914737,2025-11-26 10:33:08.150557,0 days 00:03:01.235820,0.9972328619708214,32,0.03924326986578656,2.0302078748883686e-06,0.30000000000000004,300,0.001173687351110304,0.0343316048138693,5,4,0.5680298805236816,,,PRUNED
9,0.5677099823951721,2025-11-26 10:33:08.150953,2025-11-26 10:33:40.629365,0 days 00:00:32.478412,0.4844646218833046,128,0.0863092416973271,9.005013237766053e-06,0.2,300,0.00031564255755246886,0.04050023123411252,9,7,0.5677099823951721,,,PRUNED
10,0.5319762229919434,2025-11-26 10:33:40.629644,2025-11-26 10:34:29.861480,0 days 00:00:49.231836,0.19644960972873837,64,0.005893646885161301,1.5804673028028477e-05,0.0,300,0.005831733514790245,0.15753696896101388,3,7,0.5319762229919434,,,PRUNED
11,0.4554640412330627,2025-11-26 10:34:29.861836,2025-11-26 10:55:58.733596,0 days 00:21:28.871760,0.3474568271348107,256,0.011893229570692273,2.3524834886115493e-05,0.1,300,0.007046321642919562,0.0911972449685291,10,6,0.47397762537002563,,,COMPLETE
12,0.48196256160736084,2025-11-26 10:55:58.734022,2025-11-26 10:57:10.783465,0 days 00:01:12.049443,0.790694181836399,256,0.006732603907378068,3.667799837826885e-05,0.1,300,0.0014561131524655894,0.08492089802938643,7,6,0.4948163330554962,0.48196256160736084,,PRUNED
13,0.6659684777259827,2025-11-26 10:57:10.783861,2025-11-26 10:57:53.628575,0 days 00:00:42.844714,0.24754728945902377,64,0.024479440833280998,3.2838179177208563e-06,0.1,300,0.00012741499258306913,0.21139630634746673,8,5,0.6659684777259827,,,PRUNED
14,0.5562353134155273,2025-11-26 10:57:53.628810,2025-11-26 11:01:22.857389,0 days 00:03:29.228579,0.0880073105224185,256,0.04253579555797291,9.533552947144039e-05,0.2,300,2.3407342396576808e-05,0.4312994952579047,3,6,0.5562353134155273,,,PRUNED
15,0.5641273856163025,2025-11-26 11:01:22.857770,2025-11-26 11:02:04.665207,0 days 00:00:41.807437,0.5219025209728084,64,0.011336721712384838,3.1260090670626154e-05,0.1,300,0.002675540202165321,0.06865451196037764,8,4,0.5641273856163025,,,PRUNED
16,0.5663190484046936,2025-11-26 11:02:04.665408,2025-11-26 11:02:30.632641,0 days 00:00:25.967233,0.08947959850253606,256,0.0028584394182259707,5.198488784025554e-06,0.30000000000000004,300,0.0007573619799172992,0.1265235250947564,10,7,0.5663190484046936,,,PRUNED
17,0.4664313793182373,2025-11-26 11:02:30.632928,2025-11-26 11:09:04.505127,0 days 00:06:33.872199,0.26564178357516127,64,0.06792585582777678,1.210495998581749e-06,0.0,300,0.00021059556658242084,0.062865015944429,7,6,0.48189517855644226,0.4664313793182373,,PRUNED
18,1.865526795387268,2025-11-26 11:09:04.505548,2025-11-26 11:09:28.564505,0 days 00:00:24.058957,0.15072822476743727,256,0.017801168466530713,1.5293632575406032e-05,0.4,300,3.902055804427779e-05,0.015168390443901279,4,5,1.865526795387268,,,PRUNED
19,0.45761653780937195,2025-11-26 11:09:28.564897,2025-11-26 11:11:30.843243,0 days 00:02:02.278346,0.5961583036401314,64,0.007176311325221325,2.223986771729203e-06,0.2,300,0.0035336258357375108,0.33744869465494526,8,5,0.47519367933273315,0.45761653780937195,,PRUNED
20,0.9894141554832458,2025-11-26 11:11:30.843653,2025-11-26 11:11:50.481884,0 days 00:00:19.638231,0.06220471603871365,512,0.015923729392868374,7.1510503550272775e-06,0.1,300,0.0007484548646004951,0.05369466197943863,9,4,0.9894141554832458,,,PRUNED
21,0.5245777368545532,2025-11-26 11:11:50.482081,2025-11-26 11:12:18.794962,0 days 00:00:28.312881,0.32876597784738815,256,0.010675499000816147,2.550680041661061e-05,0.1,300,0.0072236478851068495,0.13078933991970565,10,6,0.5245777368545532,,,PRUNED
