number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,71.17119662089213,2025-11-26 05:48:50.143282,2025-11-26 06:04:26.418634,0 days 00:15:36.275352,0.019626429797266778,512,0.014441358276691595,6.412302979264327e-06,0.30000000000000004,300,0.0021151249613692827,0.06994951873088215,4,4,72.22998137802608,,,COMPLETE
1,75.07335549572619,2025-11-26 06:04:26.419079,2025-11-26 06:20:44.641058,0 days 00:16:18.221979,0.6024325197966309,512,0.002505268349256646,2.62089825812484e-06,0.5,300,0.00296330325381059,0.06984100302064516,5,7,73.4171322160149,,,COMPLETE
2,76.4552454537948,2025-11-26 06:20:44.641447,2025-11-26 06:50:04.727581,0 days 00:29:20.086134,0.08434362267518386,32,0.0034016012285367045,1.3522025453752272e-05,0.4,300,0.0031140385405846963,0.15871364814100947,6,7,80.58659217877096,,,COMPLETE
3,74.84846863596363,2025-11-26 06:50:04.727975,2025-11-26 07:19:16.471833,0 days 00:29:11.743858,0.08640860122533034,32,0.07093718186019371,4.826273957340453e-06,0.4,300,0.0007893993932114456,0.13704130593473315,8,6,72.27653631284916,73.55679702048418,74.95344506517692,COMPLETE
4,63.80353817504655,2025-11-26 07:19:16.472210,2025-11-26 07:19:38.905276,0 days 00:00:22.433066,0.015660591595770244,128,0.0011417282647011402,7.5554795057096895e-06,0.30000000000000004,300,3.396242620843128e-05,0.05215415768567906,8,7,63.80353817504655,,,PRUNED
5,46.81098696461825,2025-11-26 07:19:38.905642,2025-11-26 07:19:55.773516,0 days 00:00:16.867874,0.011376078612549516,512,0.038147336279463255,8.576843646662492e-05,0.30000000000000004,300,4.315095287216979e-05,0.28850653680316946,5,5,46.81098696461825,,,PRUNED
6,50.09310986964618,2025-11-26 07:19:55.773775,2025-11-26 07:22:09.667929,0 days 00:02:13.894154,0.5248791141401142,512,0.054983254318617086,6.680682325878053e-06,0.0,300,1.5657195546461615e-05,0.6842410251107441,5,4,50.09310986964618,,,PRUNED
7,71.60148975791434,2025-11-26 07:22:09.668223,2025-11-26 07:24:29.125678,0 days 00:02:19.457455,0.016274772306830193,256,0.09364778635810334,8.178983587384519e-06,0.30000000000000004,300,0.0016885608702054467,0.040676145846543624,8,3,71.60148975791434,,,PRUNED
8,55.44692737430168,2025-11-26 07:24:29.125981,2025-11-26 07:26:07.488098,0 days 00:01:38.362117,0.12455970901407991,32,0.0010180488620247627,3.167964551033942e-06,0.1,300,3.77894112259383e-05,0.07378778753333885,4,3,55.44692737430168,,,PRUNED
9,48.92923649906891,2025-11-26 07:26:07.488319,2025-11-26 07:26:27.204855,0 days 00:00:19.716536,0.27968626137872765,128,0.011758982386659018,2.3910936238158563e-06,0.0,300,5.7045305907559185e-05,0.15748273710113347,5,4,48.92923649906891,,,PRUNED
