number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,76.09035973676266,2025-11-26 05:48:50.194147,2025-11-26 06:06:16.538402,0 days 00:17:26.344255,0.01669584369603489,512,0.009195677846823663,2.551272378444134e-06,0.5,300,0.002110573373123472,0.013139379354849646,7,7,69.15735567970206,69.15735567970206,71.01955307262571,COMPLETE
1,68.69999789915668,2025-11-26 06:06:16.538865,2025-11-26 06:26:11.901462,0 days 00:19:55.362597,0.5605568839141157,128,0.023511940775538167,1.3692231526010458e-05,0.4,300,0.0001800976409917095,0.1793674763885969,3,4,71.4851024208566,,,COMPLETE
2,60.218808193668515,2025-11-26 06:26:11.901836,2025-11-26 06:26:28.211056,0 days 00:00:16.309220,0.11578423470963285,512,0.006625700184832239,6.707002328554808e-05,0.4,300,0.00046356291003385973,0.021628797490200483,4,4,60.218808193668515,,,PRUNED
3,71.96238822074875,2025-11-26 06:26:28.211437,2025-11-26 06:56:44.677426,0 days 00:30:16.465989,0.043986891902378915,32,0.07051495370155911,4.992013580397956e-05,0.5,300,1.2664096147073919e-05,0.08304177265530867,10,6,69.1806331471136,,,COMPLETE
4,72.756527324475,2025-11-26 06:56:44.677870,2025-11-26 07:15:00.214347,0 days 00:18:15.536477,0.03017667124714688,128,0.08068456278761732,3.096050364770588e-06,0.2,300,0.0012932080875118056,0.1487042105779103,6,3,71.8342644320298,71.8342644320298,,COMPLETE
5,76.05990753689332,2025-11-26 07:15:00.214799,2025-11-26 07:31:12.894664,0 days 00:16:12.679865,0.1086985320946531,64,0.00984102954307028,9.347968268872615e-06,0.0,300,0.005934475421327407,0.5401208408832889,6,5,73.6266294227188,74.25512104283054,,COMPLETE
6,76.08995717427926,2025-11-26 07:31:12.895089,2025-11-26 07:43:32.960633,0 days 00:12:20.065544,0.11254682998390624,256,0.01775320500985237,2.0150144982506285e-05,0.5,300,0.002363466006372439,0.36496521320854186,3,7,72.57914338919925,74.88361266294226,,COMPLETE
7,65.06052141527002,2025-11-26 07:43:32.961055,2025-11-26 07:43:47.896447,0 days 00:00:14.935392,0.3252559983444188,512,0.0024155684492370676,5.704048578692092e-06,0.4,300,0.0010217029280289974,0.1660952527299363,8,5,65.06052141527002,,,PRUNED
8,74.82240010331364,2025-11-26 07:43:47.896678,2025-11-26 07:54:40.254941,0 days 00:10:52.358263,0.13079824305007393,512,0.023675792917983926,1.1041144339621804e-06,0.2,300,0.003816497141869104,0.7254997999514021,10,7,73.39385474860335,74.69739292364991,75.80307262569833,COMPLETE
9,68.94785847299813,2025-11-26 07:54:40.255244,2025-11-26 07:55:31.843963,0 days 00:00:51.588719,0.7624470535899657,256,0.022762547210561163,3.8114554347987734e-06,0.5,300,0.00047838660451869077,0.012601687113718622,6,7,68.94785847299813,,,PRUNED
10,72.07909789655054,2025-11-26 07:55:31.844308,2025-11-26 08:14:01.163217,0 days 00:18:29.318909,0.011869623665233666,64,0.001181652579249464,1.3173550423504358e-06,0.0,300,6.935884042159673e-05,0.030880505763057006,8,6,73.60335195530728,,,COMPLETE
