number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,77.18531951904296,2025-11-26 08:28:46.278060,2025-11-26 09:18:49.350908,0 days 00:50:03.072848,0.9645291594948788,32,0.002909659194181661,3.189532740842346e-06,0.30000000000000004,300,1.010230747035731e-05,0.40622592495057586,6,7,84.62425994873047,79.14923858642578,74.2867431640625,COMPLETE
1,79.27630157470703,2025-11-26 09:18:49.351374,2025-11-26 09:41:50.844574,0 days 00:23:01.493200,0.2507147245147828,512,0.02764087430052448,3.835265636137266e-05,0.1,300,6.892509757386984e-05,0.07004801339446912,6,6,81.3812484741211,77.89238739013672,,COMPLETE
2,87.8904800415039,2025-11-26 09:41:50.845032,2025-11-26 09:42:06.930948,0 days 00:00:16.085916,0.010500686083758426,512,0.03873737097884052,3.991909142454016e-05,0.0,300,0.0001387525951082268,0.8942512119477499,9,5,87.8904800415039,,,PRUNED
3,84.94142150878906,2025-11-26 09:42:06.931266,2025-11-26 09:43:11.444444,0 days 00:01:04.513178,0.8660282731085651,64,0.021372781398726812,1.0727149896039067e-06,0.30000000000000004,300,1.2655206674914978e-05,0.6764624735312338,5,3,84.94142150878906,,,PRUNED
4,8.82925910949707,2025-11-26 09:43:11.444663,2025-11-26 09:58:56.164163,0 days 00:15:44.719500,0.4042642974025173,512,0.0015465383788277492,2.0341305208691192e-06,0.30000000000000004,300,0.0021822746340983174,0.2606568767126305,3,4,56.10112762451172,20.220794677734375,8.689460754394531,COMPLETE
5,8.32928695678711,2025-11-26 09:58:56.164498,2025-11-26 10:16:10.889636,0 days 00:17:14.725138,0.044421094329772016,512,0.001171047490101619,1.22428772281992e-05,0.5,300,0.007676517027437829,0.05934336834069503,4,6,11.297446250915527,8.547179222106934,,COMPLETE
6,94.94770050048828,2025-11-26 10:16:10.890057,2025-11-26 10:16:56.042593,0 days 00:00:45.152536,0.09214402563197216,512,0.0017027616292674378,1.583043011923311e-05,0.5,300,1.5689356911089857e-05,0.02332176730194423,3,4,94.94770050048828,,,PRUNED
7,8.77299690246582,2025-11-26 10:16:56.042837,2025-11-26 10:20:37.473514,0 days 00:03:41.430677,0.07055993899117254,64,0.0015767011166064986,3.7737186798480215e-06,0.5,300,0.0006899579330029278,0.8942277873595502,4,7,53.28363800048828,12.206296920776367,8.77299690246582,PRUNED
8,85.49120330810547,2025-11-26 10:20:37.473993,2025-11-26 10:21:01.118128,0 days 00:00:23.644135,0.02436593898492262,64,0.08832101947213279,6.801787732124964e-06,0.5,300,1.4611095958382654e-05,0.7635751330332426,9,4,85.49120330810547,,,PRUNED
9,8.84082098007202,2025-11-26 10:21:01.118533,2025-11-26 10:32:21.401119,0 days 00:11:20.282586,0.04063705362903146,64,0.009658013772287897,1.0280257648278093e-06,0.1,300,0.005223323570693305,0.6240139888347909,6,4,9.28742790222168,9.28742790222168,,COMPLETE
10,8.265206146240235,2025-11-26 10:32:21.401471,2025-11-26 10:42:44.994215,0 days 00:10:23.592744,0.19127016716495548,128,0.006211297274227458,1.459466679538885e-05,0.4,300,0.009299836636834109,0.013171295825369042,8,6,8.760418891906738,,,COMPLETE
11,8.788158416748047,2025-11-26 10:42:44.994667,2025-11-26 10:45:27.359899,0 days 00:02:42.365232,0.20241242182126504,128,0.004022709607381532,1.536301702400802e-05,0.4,300,0.007236519463395456,0.012680747098357308,8,6,20.132417678833008,8.97041130065918,8.788158416748047,PRUNED
12,60.493873596191406,2025-11-26 10:45:27.360270,2025-11-26 10:45:46.603829,0 days 00:00:19.243559,0.15604635922944513,128,0.008055043557853551,9.09681323661098e-05,0.4,300,0.0015562417150037254,0.04397510372014409,8,6,60.493873596191406,,,PRUNED
13,8.30892734527588,2025-11-26 10:45:46.604021,2025-11-26 10:56:43.212435,0 days 00:10:56.608414,0.044767885117362974,256,0.0047646762987110635,8.673621697506784e-06,0.4,300,0.007336819465018595,0.15971531591537172,10,5,33.083621978759766,9.045510292053223,8.098786354064941,COMPLETE
14,84.08637237548828,2025-11-26 10:56:43.213074,2025-11-26 10:56:59.518342,0 days 00:00:16.305268,0.025214718257727774,256,0.004345944130049384,7.33422120474864e-06,0.4,300,0.0019395095196396421,0.16585522709623926,10,5,84.08637237548828,,,PRUNED
15,87.48248291015625,2025-11-26 10:56:59.518721,2025-11-26 10:57:15.284666,0 days 00:00:15.765945,0.42877028937283274,256,0.006406909879498883,3.174152105056733e-05,0.2,300,0.0004816397234989277,0.12561578515681374,10,5,87.48248291015625,,,PRUNED
16,8.464063453674317,2025-11-26 10:57:15.285056,2025-11-26 11:10:47.383223,0 days 00:13:32.098167,0.12502976224228127,128,0.011954109894111142,2.4006008571063852e-05,0.4,300,0.003484436516408643,0.010972570795744907,8,7,34.20888900756836,8.850255012512207,,COMPLETE
17,0.0,2025-11-26 11:10:47.383564,2025-11-26 11:10:47.400417,0 days 00:00:00.016853,0.062221642651817496,256,0.002494748451029381,7.108857222205484e-06,0.2,300,0.001067017370456236,0.03516884501490933,9,3,,,,COMPLETE
18,0.0,2025-11-26 11:10:47.400563,2025-11-26 11:10:47.414398,0 days 00:00:00.013835,0.29276947888550897,32,0.0025981919666150937,4.430462459090247e-06,0.2,300,0.0009281560924843896,0.025782270917482693,7,3,,,,COMPLETE
19,0.0,2025-11-26 11:10:47.414534,2025-11-26 11:10:47.427375,0 days 00:00:00.012841,0.4089431405597974,32,0.0025414199006710716,4.352361817735837e-06,0.2,300,0.00020037454381289808,0.030171341506069822,7,3,,,,COMPLETE
20,0.0,2025-11-26 11:10:47.427498,2025-11-26 11:10:47.439935,0 days 00:00:00.012437,0.0703625065838079,32,0.0029732383530902393,1.8686331810399198e-06,0.1,300,0.001029881355428778,0.021956127361921197,7,3,,,,COMPLETE
21,0.0,2025-11-26 11:10:47.440066,2025-11-26 11:10:47.452955,0 days 00:00:00.012889,0.3746329130031964,32,0.0024498367587777034,4.430357180217298e-06,0.2,300,0.00020175726706721247,0.03019804248664165,7,3,,,,COMPLETE
22,0.0,2025-11-26 11:10:47.453073,2025-11-26 11:10:47.465756,0 days 00:00:00.012683,0.2951432283871748,32,0.0023455290394272382,5.6768018268963515e-06,0.2,300,0.00034533453543106275,0.03367566753169929,7,3,,,,COMPLETE
