number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 00:51:59.695616,2025-11-26 00:51:59.699680,0 days 00:00:00.004064,0.012923776790583104,512,0.021468546317072876,0.2,300,0.00015368335408005103,3,5,COMPLETE
1,0.0,2025-11-26 00:51:59.699824,2025-11-26 00:51:59.701601,0 days 00:00:00.001777,0.14050563632680743,64,0.005761389389207313,0.5,300,0.0012850034272567008,3,5,COMPLETE
2,0.0,2025-11-26 00:51:59.701714,2025-11-26 00:51:59.703106,0 days 00:00:00.001392,0.9887388427214792,512,0.02031821889271052,0.4,300,1.0321895440997455e-05,3,3,COMPLETE
3,0.0,2025-11-26 00:51:59.703210,2025-11-26 00:51:59.704610,0 days 00:00:00.001400,0.9324474958891887,256,0.004765355377463786,0.1,300,0.001174722354015866,4,6,COMPLETE
4,0.0,2025-11-26 00:51:59.704709,2025-11-26 00:51:59.706076,0 days 00:00:00.001367,0.14315122349493253,256,0.0876785208524751,0.0,300,0.00015918835592133686,3,3,COMPLETE
5,0.0,2025-11-26 00:51:59.706174,2025-11-26 00:51:59.707542,0 days 00:00:00.001368,0.0310193357717017,64,0.01157578538012434,0.4,300,0.00022368054056874246,5,3,COMPLETE
6,0.0,2025-11-26 00:51:59.707657,2025-11-26 00:51:59.709113,0 days 00:00:00.001456,0.04660742484729599,512,0.05866436621751211,0.0,300,6.1528566092128e-05,8,6,COMPLETE
7,0.0,2025-11-26 00:51:59.709229,2025-11-26 00:51:59.710632,0 days 00:00:00.001403,0.011280074094369824,256,0.002450610540307733,0.30000000000000004,300,3.112122467615492e-05,8,4,COMPLETE
8,0.0,2025-11-26 00:51:59.710730,2025-11-26 00:51:59.712069,0 days 00:00:00.001339,0.18251116533172465,128,0.0010698542859345443,0.0,300,4.2882294950672644e-05,8,5,COMPLETE
9,0.0,2025-11-26 00:51:59.712152,2025-11-26 00:51:59.713470,0 days 00:00:00.001318,0.3030521428185655,512,0.002840571197046787,0.0,300,0.0001980635837037538,3,4,COMPLETE
10,0.0,2025-11-26 00:51:59.713551,2025-11-26 00:51:59.723890,0 days 00:00:00.010339,0.011547138189961515,32,0.02939060627884182,0.2,300,0.009963569672506726,6,5,COMPLETE
11,0.0,2025-11-26 00:51:59.723993,2025-11-26 00:51:59.733761,0 days 00:00:00.009768,0.051613497793388065,64,0.00839013188503161,0.5,300,0.0018765707078627503,5,5,COMPLETE
12,0.0,2025-11-26 00:51:59.733869,2025-11-26 00:51:59.743296,0 days 00:00:00.009427,0.3262279481326081,64,0.02370935102147102,0.2,300,0.0008386632914969379,4,5,COMPLETE
13,0.0,2025-11-26 00:51:59.743404,2025-11-26 00:51:59.752945,0 days 00:00:00.009541,0.08076319178249217,128,0.008995247082457582,0.5,300,0.007702653374700662,4,6,COMPLETE
14,0.0,2025-11-26 00:51:59.753064,2025-11-26 00:51:59.762370,0 days 00:00:00.009306,0.023126718912290605,32,0.0047140026196642835,0.30000000000000004,300,0.0006533725097085284,6,4,COMPLETE
15,0.0,2025-11-26 00:51:59.762478,2025-11-26 00:51:59.771798,0 days 00:00:00.009320,0.1098189089685749,512,0.04830247678978657,0.4,300,0.00325519849124328,3,5,COMPLETE
16,0.0,2025-11-26 00:51:59.771907,2025-11-26 00:51:59.781454,0 days 00:00:00.009547,0.3970133614718334,64,0.013986851001167928,0.2,300,0.0003888517727947267,4,4,COMPLETE
17,0.0,2025-11-26 00:51:59.781567,2025-11-26 00:51:59.790955,0 days 00:00:00.009388,0.020523184581387004,64,0.005295759596878283,0.1,300,9.832499744037569e-05,5,6,COMPLETE
18,0.0,2025-11-26 00:51:59.791068,2025-11-26 00:51:59.800637,0 days 00:00:00.009569,0.0639946094962164,512,0.001447159265620046,0.30000000000000004,300,0.003016979237662711,7,5,COMPLETE
19,0.0,2025-11-26 00:51:59.800748,2025-11-26 00:51:59.810070,0 days 00:00:00.009322,0.20132312666381819,32,0.0378965161399576,0.1,300,0.0003905083988276502,3,4,COMPLETE
20,0.0,2025-11-26 00:51:59.810177,2025-11-26 00:51:59.819770,0 days 00:00:00.009593,0.5123356691248413,128,0.0028384771208849946,0.5,300,2.1233242713467788e-05,4,6,COMPLETE
21,0.0,2025-11-26 00:51:59.819885,2025-11-26 00:51:59.829593,0 days 00:00:00.009708,0.9795812066337766,512,0.01766372215549561,0.4,300,1.531896563995598e-05,3,3,COMPLETE
22,0.0,2025-11-26 00:51:59.829711,2025-11-26 00:51:59.839151,0 days 00:00:00.009440,0.6650574060426422,512,0.021552117295345254,0.4,300,1.0540252330463845e-05,3,5,COMPLETE
23,0.0,2025-11-26 00:51:59.839259,2025-11-26 00:51:59.849004,0 days 00:00:00.009745,0.032993747269897296,512,0.0072146877483620945,0.5,300,9.01857440917224e-05,4,3,COMPLETE
24,0.0,2025-11-26 00:51:59.849118,2025-11-26 00:51:59.858941,0 days 00:00:00.009823,0.22074364788466794,512,0.01523939387579217,0.4,300,0.0015504273006345768,3,4,COMPLETE
25,0.0,2025-11-26 00:51:59.859054,2025-11-26 00:51:59.868783,0 days 00:00:00.009729,0.10494688280698496,64,0.036469224879630134,0.30000000000000004,300,0.004425641398890565,4,5,COMPLETE
26,0.0,2025-11-26 00:51:59.868896,2025-11-26 00:51:59.878947,0 days 00:00:00.010051,0.018939859567467694,512,0.011485552241138524,0.5,300,0.0006549809522038415,3,4,COMPLETE
27,0.0,2025-11-26 00:51:59.879069,2025-11-26 00:51:59.888644,0 days 00:00:00.009575,0.5621424021941203,512,0.006366437629690855,0.2,300,2.4144947596985347e-05,5,5,COMPLETE
28,0.0,2025-11-26 00:51:59.888758,2025-11-26 00:51:59.899148,0 days 00:00:00.010390,0.014550098814022243,64,0.025075567253546097,0.4,300,0.00011454233954923963,7,3,COMPLETE
29,0.0,2025-11-26 00:51:59.899262,2025-11-26 00:51:59.909070,0 days 00:00:00.009808,0.7381411741005675,256,0.061678432976128184,0.1,300,0.0009684389194602078,4,6,COMPLETE
