number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,90.52331454608867,2025-11-26 05:48:50.438816,2025-11-26 06:00:04.190245,0 days 00:11:13.751429,0.028321919401614434,64,0.010004302569855059,1.7651853336651401e-06,0.0,300,0.001806699468952282,0.06481245982308531,3,4,89.27536231884058,,,COMPLETE
1,85.91304347826086,2025-11-26 06:00:04.190697,2025-11-26 06:00:53.581764,0 days 00:00:49.391067,0.0326209037783247,128,0.010918145547968688,2.3033449631829547e-06,0.0,300,4.611237295788927e-05,0.06873298749905637,9,7,85.91304347826086,,,PRUNED
2,92.74124527553786,2025-11-26 06:00:53.582045,2025-11-26 06:19:33.222325,0 days 00:18:39.640280,0.07270009168397677,32,0.02340796025738121,1.1957276407228205e-05,0.5,300,0.0002496717614845922,0.057758667578948854,9,6,86.08695652173914,87.10144927536231,,COMPLETE
3,92.06702217078869,2025-11-26 06:19:33.222661,2025-11-26 06:31:07.969544,0 days 00:11:34.746883,0.024733874632766686,128,0.004367090185341487,2.3116615448920797e-05,0.2,300,0.0006390405968772979,0.25014597590646126,10,7,88.39130434782608,,,COMPLETE
4,89.07246376811594,2025-11-26 06:31:07.970254,2025-11-26 06:31:58.686799,0 days 00:00:50.716545,0.6314866148189159,128,0.019270291150626184,5.367903705645557e-05,0.1,300,0.0033765837986143334,0.011089554774083204,8,7,89.07246376811594,,,PRUNED
5,71.44927536231883,2025-11-26 06:31:58.687259,2025-11-26 06:32:12.867758,0 days 00:00:14.180499,0.015184543011164628,256,0.08020554514516551,3.57311958379404e-05,0.1,300,2.0408068635639366e-05,0.12147511057877755,7,3,71.44927536231883,,,PRUNED
6,86.78260869565217,2025-11-26 06:32:12.868095,2025-11-26 06:34:18.223327,0 days 00:02:05.355232,0.8938372028791772,256,0.028291951612379088,1.5467194505636881e-06,0.4,300,0.00102679713301567,0.4737958804322318,9,6,86.78260869565217,,,PRUNED
7,80.81159420289853,2025-11-26 06:34:18.223681,2025-11-26 06:34:34.636568,0 days 00:00:16.412887,0.024730973783403158,128,0.015018666444295788,2.0386655576812935e-06,0.2,300,0.0007937659128026675,0.06112213081344902,4,4,80.81159420289853,,,PRUNED
8,83.01449275362319,2025-11-26 06:34:34.636809,2025-11-26 06:34:48.925210,0 days 00:00:14.288401,0.06531347084488007,512,0.051093915935578736,1.6497311051286234e-06,0.0,300,0.00032412682385745426,0.3881102908433387,9,6,83.01449275362319,,,PRUNED
9,85.33333333333333,2025-11-26 06:34:48.925687,2025-11-26 06:35:49.973752,0 days 00:01:01.048065,0.08213654043294694,64,0.009950823398855673,1.0102081955800931e-06,0.30000000000000004,300,5.795095708140454e-05,0.300855876144682,4,6,85.33333333333333,,,PRUNED
10,75.13043478260869,2025-11-26 06:35:49.974024,2025-11-26 06:36:17.022209,0 days 00:00:27.048185,0.2692198779124453,32,0.0011590648863417559,8.555279430268358e-06,0.5,300,0.00012175481679296039,0.019484696268573132,6,5,75.13043478260869,,,PRUNED
11,86.98550724637681,2025-11-26 06:36:17.022419,2025-11-26 06:37:39.377097,0 days 00:01:22.354678,0.17230804787139423,32,0.0034952804726738587,1.9299872909549588e-05,0.30000000000000004,300,0.0002988389476089865,0.158856387234976,10,7,86.98550724637681,,,PRUNED
12,86.89855072463769,2025-11-26 06:37:39.377349,2025-11-26 06:39:00.358882,0 days 00:01:20.981533,0.05235421423930397,32,0.0036727472048958937,7.323271392241134e-06,0.5,300,0.005731290172906059,0.7740543727567393,10,6,86.89855072463769,86.89855072463769,,PRUNED
13,76.89855072463767,2025-11-26 06:39:00.359130,2025-11-26 06:40:59.362932,0 days 00:01:59.003802,0.01102132688497795,512,0.004880998408764635,1.8410033686416857e-05,0.2,300,0.00033735597388835046,0.029716574763835404,7,5,76.89855072463767,,,PRUNED
14,85.79710144927536,2025-11-26 06:40:59.363272,2025-11-26 06:41:28.006798,0 days 00:00:28.643526,0.23331619960338557,32,0.0014832156073252552,4.054866275571291e-06,0.4,300,0.000156528659330615,0.2086947663669621,10,7,85.79710144927536,,,PRUNED
15,73.15942028985506,2025-11-26 06:41:28.007033,2025-11-26 06:41:45.915901,0 days 00:00:17.908868,0.11773813643394898,128,0.03345290286670191,9.717522098046974e-05,0.4,300,1.0378537331487779e-05,0.037507366077065174,8,6,73.15942028985506,,,PRUNED
16,92.33953691244275,2025-11-26 06:41:45.916193,2025-11-26 07:00:59.693230,0 days 00:19:13.777037,0.042068405378919115,32,0.005603589560371988,1.7623066150764632e-05,0.2,300,0.0010306893498728685,0.10232306110582728,6,7,86.05797101449275,87.73913043478261,89.05797101449275,COMPLETE
