number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,94.92645808583558,2025-11-26 05:48:50.064935,2025-11-26 05:58:57.279319,0 days 00:10:07.214384,0.04130760136812829,512,0.008682275376305006,2.9333281288927445e-05,0.30000000000000004,300,0.009388485933341843,0.14661153488557627,8,5,91.08695652173914,92.23188405797102,COMPLETE
1,93.57819484021378,2025-11-26 05:58:57.279877,2025-11-26 06:25:09.905857,0 days 00:26:12.625980,0.010320249979900876,64,0.07190249137721844,1.3212969582945119e-05,0.5,300,8.079221672885963e-05,0.05068817091516789,4,3,91.39130434782608,,COMPLETE
2,84.63768115942028,2025-11-26 06:25:09.906347,2025-11-26 06:25:32.409049,0 days 00:00:22.502702,0.268552070592488,64,0.004280821889081597,5.3111137375037466e-05,0.30000000000000004,300,1.5991495567209447e-05,0.07075650120017328,9,7,84.63768115942028,,PRUNED
3,94.84392103616577,2025-11-26 06:25:32.409310,2025-11-26 06:36:10.684014,0 days 00:10:38.274704,0.3000680506121362,512,0.003096118713904421,5.2894398816152626e-06,0.5,300,0.00255544129151229,0.401722145105258,7,6,92.05797101449275,92.14492753623188,COMPLETE
4,83.82608695652173,2025-11-26 06:36:10.684460,2025-11-26 06:36:29.485000,0 days 00:00:18.800540,0.7276772784511737,128,0.03833585280318793,1.8603617941396494e-06,0.1,300,6.40710269803271e-05,0.04909019151525946,8,5,83.82608695652173,,PRUNED
5,95.14546695156687,2025-11-26 06:36:29.485387,2025-11-26 06:49:01.115275,0 days 00:12:31.629888,0.03082132631113267,64,0.08714089941865212,3.361958269584907e-06,0.5,300,0.003357073247633225,0.024563996154145402,3,6,93.6231884057971,93.6231884057971,COMPLETE
6,94.53645914812203,2025-11-26 06:49:01.115681,2025-11-26 06:56:49.526382,0 days 00:07:48.410701,0.058108857989627026,128,0.001979495666850649,1.1344536758993672e-05,0.0,300,0.0027575763297604055,0.31228808587640344,10,4,,,COMPLETE
7,87.94202898550726,2025-11-26 06:56:49.526831,2025-11-26 06:57:04.473024,0 days 00:00:14.946193,0.4177855738750369,256,0.007207947243482608,5.623657656204261e-06,0.4,300,0.0004072218182433644,0.04156843962771147,5,4,87.94202898550726,,PRUNED
8,94.2644003087223,2025-11-26 06:57:04.473353,2025-11-26 07:06:05.730637,0 days 00:09:01.257284,0.03177028956967556,512,0.00385149048895956,1.189150132960988e-06,0.2,300,0.001556196535558271,0.010853317683554324,7,7,,,COMPLETE
9,90.52173913043478,2025-11-26 07:06:05.731217,2025-11-26 07:06:26.933942,0 days 00:00:21.202725,0.026590725479801416,64,0.0017312357193155134,6.7868160117435074e-06,0.30000000000000004,300,0.0006942455129523903,0.08234106145176498,8,6,90.52173913043478,,PRUNED
10,95.32739308836794,2025-11-26 07:06:26.934151,2025-11-26 07:21:07.540440,0 days 00:14:40.606289,0.1333103791447107,32,0.028130231494734186,2.5586781892907688e-06,0.5,300,0.005749193618556935,0.012032097412526687,3,6,92.69565217391305,,COMPLETE
11,95.05934881771384,2025-11-26 07:21:07.540746,2025-11-26 07:37:23.224083,0 days 00:16:15.683337,0.1373622355525958,32,0.024450801971682888,2.5550391139739363e-06,0.5,300,0.00922030524839139,0.01019138578455814,3,6,93.33333333333333,,COMPLETE
12,91.68115942028986,2025-11-26 07:37:23.224414,2025-11-26 07:38:48.901695,0 days 00:01:25.677281,0.09275309202648545,32,0.0938889161543482,3.151021854276425e-06,0.4,300,0.004469608260069963,0.021413953811572302,3,6,91.68115942028986,,PRUNED
13,91.79710144927536,2025-11-26 07:38:48.902007,2025-11-26 07:40:16.442851,0 days 00:01:27.540844,0.013985120205144896,32,0.02143738319170488,1.2685530223368242e-06,0.4,300,0.0009709465185711342,0.020425323324033417,5,7,91.79710144927536,91.79710144927536,PRUNED
14,89.71014492753623,2025-11-26 07:40:16.443122,2025-11-26 07:40:31.745983,0 days 00:00:15.302861,0.1174630757931049,256,0.04593764179822297,3.413762266246908e-06,0.5,300,0.0002164584872684805,0.02188478200141268,5,5,89.71014492753623,,PRUNED
15,93.13043478260869,2025-11-26 07:40:31.746199,2025-11-26 07:41:33.298142,0 days 00:01:01.551943,0.07197157544933357,64,0.01622970641565924,2.0218701443503584e-05,0.4,300,0.004629260981260104,0.15301988832857513,4,6,93.13043478260869,93.13043478260869,PRUNED
16,91.59420289855072,2025-11-26 07:41:33.298391,2025-11-26 07:42:52.178598,0 days 00:01:18.880207,0.020336195930441454,32,0.04896292534153745,2.0273381995674174e-06,0.2,300,0.00019311305057931533,0.026213295294774515,3,5,91.59420289855072,,PRUNED
17,92.52173913043478,2025-11-26 07:42:52.178917,2025-11-26 07:43:54.915813,0 days 00:01:02.736896,0.17572165042766003,64,0.014470639622205144,4.223188018058346e-06,0.5,300,0.0014000700403017262,0.8240943181564518,4,7,92.52173913043478,,PRUNED
18,91.53623188405797,2025-11-26 07:43:54.916079,2025-11-26 07:45:13.179120,0 days 00:01:18.263041,0.041157933624568106,32,0.029289341146252333,7.647374802905129e-06,0.4,300,0.00449933096473336,0.014179975799424746,6,4,91.53623188405797,,PRUNED
19,90.89855072463767,2025-11-26 07:45:13.179304,2025-11-26 07:45:28.846554,0 days 00:00:15.667250,0.853974659078045,256,0.06346768698999902,8.393509596735532e-05,0.0,300,0.0005034568978274405,0.03891527787765086,3,6,90.89855072463767,,PRUNED
20,85.8840579710145,2025-11-26 07:45:28.846858,2025-11-26 07:47:49.676193,0 days 00:02:20.829335,0.05363184321430601,128,0.09433361909109758,1.8564230238552145e-06,0.1,300,1.123889405578031e-05,0.014836752383944815,6,3,85.8840579710145,,PRUNED
21,94.95664428930979,2025-11-26 07:47:49.676490,2025-11-26 08:01:54.682924,0 days 00:14:05.006434,0.14300174801839122,32,0.02780165301256336,2.4682089161813337e-06,0.5,300,0.008484875365252866,0.010000706288774634,3,6,,,COMPLETE
22,91.56521739130436,2025-11-26 08:01:54.683339,2025-11-26 08:02:23.644555,0 days 00:00:28.961216,0.19274998502015078,32,0.01270670343866447,1.1007458496211192e-06,0.5,300,0.008472241399372329,0.014837824547623345,4,6,91.56521739130436,,PRUNED
23,91.79710144927536,2025-11-26 08:02:23.644789,2025-11-26 08:03:44.627655,0 days 00:01:20.982866,0.08378116075592988,32,0.025567809925336575,2.956827848605771e-06,0.4,300,0.0022664481761169,0.03128210506810401,3,5,91.79710144927536,91.79710144927536,PRUNED
24,95.47965180853416,2025-11-26 08:03:44.627915,2025-11-26 08:18:52.194442,0 days 00:15:07.566527,0.42575052117314327,32,0.03555268862133734,1.6172679602790535e-06,0.5,300,0.0036593566517828806,0.015119686362566042,4,7,94.34782608695653,,COMPLETE
25,95.0190670653957,2025-11-26 08:18:52.195477,2025-11-26 08:30:34.906827,0 days 00:11:42.711350,0.44326172930401697,64,0.05451922721128471,1.5386135283234157e-06,0.5,300,0.004041411346665262,0.016403968750835784,4,7,,,COMPLETE
26,91.65217391304348,2025-11-26 08:30:34.907331,2025-11-26 08:31:05.812362,0 days 00:00:30.905031,0.54325258062573,32,0.03687447950597903,4.370986382635506e-06,0.4,300,0.0012580034356326365,0.03155769703451262,5,7,91.65217391304348,,PRUNED
27,92.55072463768116,2025-11-26 08:31:05.812632,2025-11-26 08:32:34.659645,0 days 00:01:28.847013,0.27551448339390106,32,0.018471164725605737,8.04956574406885e-06,0.30000000000000004,300,0.0020353443773357483,0.12058320507190291,4,7,92.55072463768116,,PRUNED
28,92.14492753623188,2025-11-26 08:32:34.659910,2025-11-26 08:33:38.624830,0 days 00:01:03.964920,0.017595367108148886,64,0.0010785615096250694,1.7202088922947746e-06,0.5,300,0.0008215117406987524,0.018237617277402376,6,6,92.14492753623188,92.14492753623188,PRUNED
29,91.10144927536233,2025-11-26 08:33:38.625097,2025-11-26 08:33:52.784568,0 days 00:00:14.159471,0.20348083995329486,512,0.00860178724291232,1.7052551862515703e-05,0.30000000000000004,300,0.006258780295737928,0.062321033275889,3,5,91.10144927536233,,PRUNED
