number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 01:41:04.423453,2025-11-26 01:41:04.429571,0 days 00:00:00.006118,0.4273615370898814,512,0.0010454235566990937,0.30000000000000004,300,3.582102568711652e-05,6,6,COMPLETE
1,0.0,2025-11-26 01:41:04.429732,2025-11-26 01:41:04.431636,0 days 00:00:00.001904,0.05790455696889257,32,0.0012524427671935323,0.5,300,5.150225056513167e-05,7,6,COMPLETE
2,0.0,2025-11-26 01:41:04.431751,2025-11-26 01:41:04.433539,0 days 00:00:00.001788,0.0972492510474656,64,0.002461316798907439,0.2,300,0.00022162985599645917,5,4,COMPLETE
3,0.0,2025-11-26 01:41:04.433642,2025-11-26 01:41:04.435402,0 days 00:00:00.001760,0.31082753395626056,32,0.01438101716355296,0.5,300,0.00035913679964692303,3,5,COMPLETE
4,0.0,2025-11-26 01:41:04.435503,2025-11-26 01:41:04.437312,0 days 00:00:00.001809,0.43774055065413436,512,0.005077248467703813,0.5,300,2.9292411272498913e-05,3,3,COMPLETE
5,0.0,2025-11-26 01:41:04.437412,2025-11-26 01:41:04.439103,0 days 00:00:00.001691,0.23209557501118824,64,0.002970900727252115,0.0,300,0.009197674244797357,7,4,COMPLETE
6,0.0,2025-11-26 01:41:04.439198,2025-11-26 01:41:04.440864,0 days 00:00:00.001666,0.3247404063540705,256,0.0026348305734651815,0.5,300,3.736520757255352e-05,8,3,COMPLETE
7,0.0,2025-11-26 01:41:04.440985,2025-11-26 01:41:04.442744,0 days 00:00:00.001759,0.07576050520974549,256,0.04966496089158746,0.4,300,2.2995695088257706e-05,4,5,COMPLETE
8,0.0,2025-11-26 01:41:04.442842,2025-11-26 01:41:04.444483,0 days 00:00:00.001641,0.014097971831236808,32,0.00915268099278931,0.1,300,1.45890459965948e-05,3,3,COMPLETE
9,0.0,2025-11-26 01:41:04.444567,2025-11-26 01:41:04.446370,0 days 00:00:00.001803,0.8696920631490582,256,0.006975943951748668,0.30000000000000004,300,2.4646635461880173e-05,8,6,COMPLETE
10,0.0,2025-11-26 01:41:04.446457,2025-11-26 01:41:04.457203,0 days 00:00:00.010746,0.01790461897045088,128,0.09289463057971856,0.2,300,0.00021127838577895142,6,6,COMPLETE
11,0.0,2025-11-26 01:41:04.457310,2025-11-26 01:41:04.467506,0 days 00:00:00.010196,0.03245075406591109,512,0.0012835918574482092,0.30000000000000004,300,6.990944442939658e-05,6,6,COMPLETE
12,0.0,2025-11-26 01:41:04.467622,2025-11-26 01:41:04.477512,0 days 00:00:00.009890,0.048852738106357235,512,0.001044625584032398,0.4,300,9.454633029656612e-05,7,5,COMPLETE
13,0.0,2025-11-26 01:41:04.477628,2025-11-26 01:41:04.487158,0 days 00:00:00.009530,0.15006871556720883,32,0.017739183286735787,0.4,300,0.0009885836092613706,5,6,COMPLETE
14,0.0,2025-11-26 01:41:04.487256,2025-11-26 01:41:04.496711,0 days 00:00:00.009455,0.03203004278728036,128,0.0016331631991285166,0.1,300,0.0014101812036786373,7,5,COMPLETE
15,0.0,2025-11-26 01:41:04.496807,2025-11-26 01:41:04.506605,0 days 00:00:00.009798,0.14322819043529955,512,0.004647991009332117,0.30000000000000004,300,1.0383553869834805e-05,6,6,COMPLETE
16,0.0,2025-11-26 01:41:04.506702,2025-11-26 01:41:04.516650,0 days 00:00:00.009948,0.8192300947115183,32,0.001843353071899281,0.4,300,8.102532998176082e-05,7,6,COMPLETE
