number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 01:41:04.550022,2025-11-26 01:41:04.555390,0 days 00:00:00.005368,0.4879669249772383,64,0.002501887705977042,0.1,300,2.2663141392052116e-05,4,5,COMPLETE
1,0.0,2025-11-26 01:41:04.555538,2025-11-26 01:41:04.557416,0 days 00:00:00.001878,0.5450176774902884,128,0.011397168094173809,0.5,300,5.870772681793414e-05,5,4,COMPLETE
2,0.0,2025-11-26 01:41:04.557532,2025-11-26 01:41:04.559283,0 days 00:00:00.001751,0.8620368510868951,256,0.005524670914818985,0.5,300,0.000931128449889552,4,5,COMPLETE
3,0.0,2025-11-26 01:41:04.559387,2025-11-26 01:41:04.561126,0 days 00:00:00.001739,0.017812673612760482,256,0.05930653261683823,0.4,300,0.0003495306728389085,3,3,COMPLETE
4,0.0,2025-11-26 01:41:04.561227,2025-11-26 01:41:04.563034,0 days 00:00:00.001807,0.01228636424982641,64,0.0073788044558296285,0.0,300,4.662309037924909e-05,4,3,COMPLETE
5,0.0,2025-11-26 01:41:04.563132,2025-11-26 01:41:04.564815,0 days 00:00:00.001683,0.03247051384667139,128,0.009050887780942648,0.2,300,0.0013037116281519887,8,5,COMPLETE
6,0.0,2025-11-26 01:41:04.564911,2025-11-26 01:41:04.566540,0 days 00:00:00.001629,0.01607521879936988,64,0.08895675475331459,0.4,300,5.22540817516692e-05,5,5,COMPLETE
7,0.0,2025-11-26 01:41:04.566661,2025-11-26 01:41:04.568427,0 days 00:00:00.001766,0.12743364426640455,128,0.0018497462737601337,0.2,300,1.4108907850754485e-05,5,5,COMPLETE
8,0.0,2025-11-26 01:41:04.568526,2025-11-26 01:41:04.570155,0 days 00:00:00.001629,0.2559594497765914,64,0.008300310268954853,0.4,300,0.0007292866449581449,5,4,COMPLETE
9,0.0,2025-11-26 01:41:04.570239,2025-11-26 01:41:04.572080,0 days 00:00:00.001841,0.06271316098711043,32,0.06242851107705518,0.0,300,5.8458518798295036e-05,3,3,COMPLETE
10,0.0,2025-11-26 01:41:04.572164,2025-11-26 01:41:04.582929,0 days 00:00:00.010765,0.29482855654336143,512,0.001402897063627934,0.1,300,0.008858522300874036,7,6,COMPLETE
11,0.0,2025-11-26 01:41:04.583017,2025-11-26 01:41:04.593075,0 days 00:00:00.010058,0.8688784613540284,128,0.023382541635518516,0.30000000000000004,300,1.4076559773228244e-05,6,4,COMPLETE
12,0.0,2025-11-26 01:41:04.593164,2025-11-26 01:41:04.602782,0 days 00:00:00.009618,0.40276950955439433,32,0.0030984307352159607,0.1,300,0.0001312034776778116,6,6,COMPLETE
13,0.0,2025-11-26 01:41:04.602870,2025-11-26 01:41:04.612609,0 days 00:00:00.009739,0.4740350430898154,512,0.021118029693593134,0.5,300,2.2305774415543855e-05,4,4,COMPLETE
14,0.0,2025-11-26 01:41:04.612699,2025-11-26 01:41:04.622411,0 days 00:00:00.009712,0.13700931959677445,128,0.019545651612519838,0.1,300,0.00014785940253564275,4,4,COMPLETE
15,0.0,2025-11-26 01:41:04.622499,2025-11-26 01:41:04.632393,0 days 00:00:00.009894,0.2204731331568637,64,0.0032189239828220185,0.30000000000000004,300,0.00012816245773689876,6,6,COMPLETE
16,0.0,2025-11-26 01:41:04.632482,2025-11-26 01:41:04.642400,0 days 00:00:00.009918,0.48273691706568256,64,0.004132151452085848,0.2,300,3.0994994697963674e-05,3,4,COMPLETE
17,0.0,2025-11-26 01:41:04.642490,2025-11-26 01:41:04.652258,0 days 00:00:00.009768,0.9797573370089792,128,0.012861296402131584,0.30000000000000004,300,1.107800395478335e-05,7,5,COMPLETE
18,0.0,2025-11-26 01:41:04.652351,2025-11-26 01:41:04.662150,0 days 00:00:00.009799,0.0761854209395986,512,0.002365475700065264,0.1,300,0.0002785198476283803,5,5,COMPLETE
19,0.0,2025-11-26 01:41:04.662247,2025-11-26 01:41:04.672309,0 days 00:00:00.010062,0.6063820743553817,32,0.0013480099198244638,0.5,300,0.0037563833932860486,4,4,COMPLETE
20,0.0,2025-11-26 01:41:04.672409,2025-11-26 01:41:04.682582,0 days 00:00:00.010173,0.15750207394798835,256,0.03176245385780723,0.0,300,7.452847084760871e-05,7,3,COMPLETE
21,0.0,2025-11-26 01:41:04.682682,2025-11-26 01:41:04.692683,0 days 00:00:00.010001,0.6674175862748735,256,0.005129138891629575,0.5,300,0.0012549435439977088,4,5,COMPLETE
22,0.0,2025-11-26 01:41:04.692779,2025-11-26 01:41:04.702699,0 days 00:00:00.009920,0.390417047177301,256,0.004740316142466148,0.4,300,0.0004253520122607091,4,5,COMPLETE
23,0.0,2025-11-26 01:41:04.702796,2025-11-26 01:41:04.713007,0 days 00:00:00.010211,0.6808068969783455,256,0.01321217755091868,0.5,300,0.0032326560362684435,5,6,COMPLETE
24,0.0,2025-11-26 01:41:04.713102,2025-11-26 01:41:04.723163,0 days 00:00:00.010061,0.9668408162596714,256,0.006153376202304899,0.5,300,2.446245340068662e-05,3,5,COMPLETE
25,0.0,2025-11-26 01:41:04.723259,2025-11-26 01:41:04.733598,0 days 00:00:00.010339,0.3089024032923905,64,0.0021327017105553154,0.30000000000000004,300,0.00021827781570097645,4,4,COMPLETE
26,0.0,2025-11-26 01:41:04.733696,2025-11-26 01:41:04.744977,0 days 00:00:00.011281,0.18643790955585932,128,0.0010534919519828941,0.4,300,0.0008765484358534067,5,5,COMPLETE
27,0.0,2025-11-26 01:41:04.745090,2025-11-26 01:41:04.755430,0 days 00:00:00.010340,0.5843181375358486,64,0.011888577462244808,0.5,300,8.931975691531657e-05,3,6,COMPLETE
28,0.0,2025-11-26 01:41:04.755539,2025-11-26 01:41:04.766225,0 days 00:00:00.010686,0.3553918966348087,128,0.003512963977336332,0.2,300,0.0024025944980056065,6,4,COMPLETE
