number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,3.1811620235443114,2025-11-26 07:39:40.765974,2025-11-26 07:58:23.635687,0 days 00:18:42.869713,0.5836960292314879,512,0.004483264205919972,1.010329240068594e-06,0.2,300,0.0019551987924079006,0.4341993286599603,6,3,5.230414390563965,3.394101142883301,3.2310075759887695,COMPLETE
1,2.820844602584839,2025-11-26 07:58:23.636182,2025-11-26 08:09:40.870227,0 days 00:11:17.234045,0.5968146601547248,512,0.0021792964211491744,1.6974528268441937e-05,0.4,300,0.005623969650014596,0.3110177829203381,7,6,2.9102463722229004,,,COMPLETE
2,3.073672389984131,2025-11-26 08:09:40.870599,2025-11-26 08:32:30.437047,0 days 00:22:49.566448,0.01360666365194227,32,0.04010691522672377,1.0676532717161552e-05,0.1,300,0.00013873471326297134,0.03221083815784106,9,5,3.1900620460510254,2.900498867034912,2.8343915939331055,COMPLETE
3,3.548206329345703,2025-11-26 08:32:30.437651,2025-11-26 08:32:43.412723,0 days 00:00:12.975072,0.8090552397557679,512,0.007650267751709374,2.109973900642343e-05,0.1,300,0.000491973703504628,0.01641076707871977,8,5,3.548206329345703,,,PRUNED
4,2.749111270904541,2025-11-26 08:32:43.413212,2025-11-26 08:54:31.415613,0 days 00:21:48.002401,0.7463387327287331,32,0.07352582267723794,4.0018220624016284e-05,0.30000000000000004,300,0.00021018045426562042,0.0646896528137506,9,7,,,,COMPLETE
5,3.3559060096740723,2025-11-26 08:54:31.416195,2025-11-26 08:54:57.156559,0 days 00:00:25.740364,0.03222272562894346,32,0.0022182792592565013,3.3674684045807416e-06,0.1,300,0.000184473278875532,0.5552606575875503,5,3,3.3559060096740723,,,PRUNED
6,3.3118802070617677,2025-11-26 08:54:57.157069,2025-11-26 09:05:25.828930,0 days 00:10:28.671861,0.11118727214156984,128,0.03137046830871128,7.261906544362946e-05,0.1,300,5.1145250384147314e-05,0.5279499296448213,8,7,3.056771993637085,2.882570266723633,,COMPLETE
7,2.881814479827881,2025-11-26 09:05:25.829351,2025-11-26 09:17:12.936936,0 days 00:11:47.107585,0.6464314564531568,256,0.010226459977920327,9.124459562763017e-05,0.1,300,0.0006642051415012073,0.01682361327662377,9,6,,,,COMPLETE
8,4.223784923553467,2025-11-26 09:17:12.937265,2025-11-26 09:17:37.719065,0 days 00:00:24.781800,0.014952528530407606,32,0.001327835819803712,6.273467741258973e-05,0.1,300,0.0005057895828221529,0.021587360504588267,3,4,4.223784923553467,,,PRUNED
9,3.6541457176208496,2025-11-26 09:17:37.719338,2025-11-26 09:18:02.878641,0 days 00:00:25.159303,0.2550583839964216,32,0.010299660406021172,2.7727865480813735e-06,0.0,300,6.457536865691577e-05,0.03600614760164957,7,3,3.6541457176208496,,,PRUNED
10,3.473000907897949,2025-11-26 09:18:02.878922,2025-11-26 09:42:26.156403,0 days 00:24:23.277481,0.15238496745508798,64,0.08971410799455354,3.2976591620576365e-05,0.5,300,1.1614692730216511e-05,0.11582116773534053,10,7,3.299570322036743,,,COMPLETE
11,10.05424690246582,2025-11-26 09:42:26.157064,2025-11-26 09:42:40.317430,0 days 00:00:14.160366,0.26547699548717574,512,0.0010016538952075638,1.7779388671226436e-05,0.4,300,0.009180280330090431,0.15222318071425248,5,6,10.05424690246582,,,PRUNED
12,2.897431755065918,2025-11-26 09:42:40.317598,2025-11-26 09:51:00.908138,0 days 00:08:20.590540,0.33142682454373285,256,0.09593543274964168,3.337275258935079e-05,0.30000000000000004,300,0.006025556872700595,0.22586937770240545,10,6,2.8743419647216797,,,COMPLETE
13,2.7990746021270754,2025-11-26 09:51:00.908456,2025-11-26 10:01:07.518154,0 days 00:10:06.609698,0.8992632652811962,128,0.027361129074399426,5.890222111388914e-06,0.4,300,0.0019436065424127704,0.053658108543051426,7,7,2.7514147758483887,,,COMPLETE
14,2.694678449630737,2025-11-26 10:01:07.518728,2025-11-26 10:14:59.919923,0 days 00:13:52.401195,0.9179631528309279,128,0.03079571780232821,5.6497009406324675e-06,0.30000000000000004,300,0.0015900805572192046,0.056463938976887895,8,7,2.6656854152679443,2.6656854152679443,,COMPLETE
15,2.7368340492248535,2025-11-26 10:14:59.920405,2025-11-26 10:15:48.994822,0 days 00:00:49.074417,0.05472140395427812,128,0.050212630484120634,6.342752343250555e-06,0.30000000000000004,300,0.0013872852862267934,0.07194919463449484,9,7,2.7368340492248535,2.7368340492248535,,PRUNED
16,2.750536489486694,2025-11-26 10:15:48.995013,2025-11-26 10:31:35.241940,0 days 00:15:46.246927,0.4284415040866126,64,0.019051034182452273,1.8283948662222127e-06,0.30000000000000004,300,0.00021536196922126408,0.055549669694626914,8,7,2.8733928203582764,2.7256224155426025,,COMPLETE
17,8.9849853515625,2025-11-26 10:31:35.242669,2025-11-26 10:31:50.657192,0 days 00:00:15.414523,0.06460963725904992,128,0.06078585475094153,9.93070953070032e-06,0.2,300,6.056004603647004e-05,0.010002046729218015,3,4,8.9849853515625,,,PRUNED
18,2.8329830169677734,2025-11-26 10:31:50.657470,2025-11-26 10:33:08.724171,0 days 00:01:18.066701,0.1887044468181333,32,0.025256522651687756,4.2609613084238655e-05,0.5,300,0.0009864033835625362,0.1023977152323941,10,6,2.8329830169677734,2.8329830169677734,,PRUNED
19,2.8541486263275146,2025-11-26 10:33:08.724566,2025-11-26 10:33:55.537448,0 days 00:00:46.812882,0.970112944179295,128,0.019987051102243664,5.0167762336356555e-06,0.2,300,0.003321216375005927,0.8982666889603129,9,5,2.8541486263275146,2.8541486263275146,,PRUNED
