number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,3.4813199043273926,2025-11-26 08:28:37.773362,2025-11-26 09:06:53.754754,0 days 00:38:15.981392,0.12589620318750963,32,0.08542690977545257,4.83305036445033e-06,0.30000000000000004,300,1.5548449936379e-05,0.15192381641493322,9,3,4.082852363586426,3.719024658203125,3.4474704265594482,COMPLETE
1,3.1680657863616943,2025-11-26 09:06:53.755092,2025-11-26 09:18:13.468824,0 days 00:11:19.713732,0.3383284222613044,64,0.05835375610556027,8.741651304349992e-06,0.1,300,0.003114914385882762,0.016579052012209845,4,3,3.1527299880981445,3.1298255920410156,,COMPLETE
2,3.6139817237854004,2025-11-26 09:18:13.469217,2025-11-26 09:18:29.075538,0 days 00:00:15.606321,0.0316478914349533,128,0.015390700382726745,3.644539782703769e-06,0.1,300,0.0002695185942798441,0.012640835058989153,10,4,3.6139817237854004,,,PRUNED
3,3.05766224861145,2025-11-26 09:18:29.075798,2025-11-26 09:32:42.930318,0 days 00:14:13.854520,0.13548250848259655,128,0.010825870668141857,7.078954664416716e-06,0.2,300,0.0015888730021700697,0.343929210781377,8,3,3.075488328933716,3.0201807022094727,,COMPLETE
4,2.6968148708343507,2025-11-26 09:32:42.930728,2025-11-26 09:48:41.439731,0 days 00:15:58.509003,0.08882718391939336,64,0.001919453424181074,4.66784047769627e-05,0.0,300,0.0007466137719016099,0.10884228476504718,6,7,2.88614821434021,,,COMPLETE
5,2.748684215545654,2025-11-26 09:48:41.440101,2025-11-26 10:13:55.319364,0 days 00:25:13.879263,0.015039238722348375,32,0.0038559390670161653,7.440541396792956e-05,0.5,300,0.0005604510570566455,0.08710093464950058,3,6,2.956441879272461,2.890148639678955,2.8164706230163574,COMPLETE
6,2.7046175479888914,2025-11-26 10:13:55.319873,2025-11-26 10:22:52.987922,0 days 00:08:57.668049,0.3936757053255769,256,0.004708214855462694,7.214403558168046e-06,0.4,300,0.0015749198701101828,0.04787198667519706,8,7,2.8304524421691895,2.760004997253418,,COMPLETE
7,2.7612701416015626,2025-11-26 10:22:52.988414,2025-11-26 10:34:11.954053,0 days 00:11:18.965639,0.07657521501948603,128,0.012298558991023464,8.435868245083092e-05,0.4,300,0.003957280296179706,0.1251117203766516,9,6,2.791041612625122,,,COMPLETE
8,3.381829261779785,2025-11-26 10:34:11.954886,2025-11-26 10:34:56.482781,0 days 00:00:44.527895,0.0334944312833581,256,0.004716797148888556,4.3374287347209187e-05,0.4,300,1.0465551280973584e-05,0.15608718460764384,5,7,3.381829261779785,,,PRUNED
9,3.0820388793945312,2025-11-26 10:34:56.483176,2025-11-26 10:35:56.778928,0 days 00:01:00.295752,0.029968660735348946,64,0.004162912673469834,3.925197530992479e-05,0.0,300,0.0017543131078346758,0.6354153859158904,8,3,3.0820388793945312,,,PRUNED
10,3.8980603218078613,2025-11-26 10:35:56.779134,2025-11-26 10:36:10.656767,0 days 00:00:13.877633,0.8353383964012159,512,0.0011392113437505283,2.0631755178734873e-05,0.0,300,8.790964601239005e-05,0.04237717790005016,6,5,3.8980603218078613,,,PRUNED
11,2.836055278778076,2025-11-26 10:36:10.657003,2025-11-26 10:36:53.967308,0 days 00:00:43.310305,0.28988354210321066,256,0.0011534767741564517,1.2441219445226198e-06,0.30000000000000004,300,0.0004450736709150002,0.04401118419444626,7,7,2.919854164123535,2.836055278778076,,PRUNED
12,2.9679479598999023,2025-11-26 10:36:53.967697,2025-11-26 10:37:13.437703,0 days 00:00:19.470006,0.9039076189235641,64,0.0025364168013006553,1.9395706008065296e-05,0.5,300,0.008811061417096176,0.047008877677316006,6,6,2.9679479598999023,,,PRUNED
13,2.979722738265991,2025-11-26 10:37:13.438019,2025-11-26 10:37:57.532386,0 days 00:00:44.094367,0.30958983691537006,256,0.0021920066015558284,1.7727963189577098e-06,0.2,300,0.00011869739183095281,0.02647987817153254,7,7,2.979722738265991,,,PRUNED
14,3.0671153545379637,2025-11-26 10:37:57.532716,2025-11-26 10:55:08.412983,0 days 00:17:10.880267,0.0707322001480347,512,0.02626986315824758,1.737284089812085e-05,0.4,300,0.0009338312638657333,0.28068846155705995,5,5,2.8423867225646973,,,COMPLETE
15,3.006639003753662,2025-11-26 10:55:08.413455,2025-11-26 10:56:05.346835,0 days 00:00:56.933380,0.18986846315412578,64,0.0065509462035169925,2.9676853261383445e-06,0.1,300,0.0002141545078328526,0.07613505036108213,8,7,3.006639003753662,,,PRUNED
16,3.5851094722747803,2025-11-26 10:56:05.347219,2025-11-26 10:56:19.968734,0 days 00:00:14.621515,0.05707828081054622,256,0.0020409677796269293,1.4121744954754707e-05,0.30000000000000004,300,3.830782458118982e-05,0.9927941645940014,5,6,3.5851094722747803,,,PRUNED
17,2.3366158246994018,2025-11-26 10:56:19.969040,2025-11-26 11:07:33.250511,0 days 00:11:13.281471,0.47813976535139946,64,0.0070101385598343524,3.3499672710693085e-05,0.2,300,0.007084797009203431,0.02549778142895608,10,7,,,,COMPLETE
18,2.9858617782592773,2025-11-26 11:07:33.250920,2025-11-26 11:07:50.017087,0 days 00:00:16.766167,0.5651076811614928,64,0.023530463352132637,3.695027608776043e-05,0.0,300,0.009911056368868893,0.022830062627519892,10,4,2.9858617782592773,,,PRUNED
19,2.9774885177612305,2025-11-26 11:07:50.017317,2025-11-26 11:08:08.073656,0 days 00:00:18.056339,0.010229457756515115,64,0.0016727604294511707,5.204473378998707e-05,0.2,300,0.004721667011165267,0.010160363632964964,3,6,2.9774885177612305,,,PRUNED
20,2.8492798805236816,2025-11-26 11:08:08.074021,2025-11-26 11:08:59.608962,0 days 00:00:51.534941,0.19085957994316952,64,0.00778113824410239,2.8348441137467278e-05,0.1,300,0.0009441880885883103,0.25368022790207634,6,5,2.903857946395874,2.8492798805236816,,PRUNED
21,2.7114370107650756,2025-11-26 11:08:59.609286,2025-11-26 11:16:27.520858,0 days 00:07:27.911572,0.5322220009670036,256,0.0030394997639542056,1.2100158289060342e-05,0.4,300,0.0022450649587935968,0.06086587408825826,9,7,,,,COMPLETE
22,3.1247029304504395,2025-11-26 11:16:27.521159,2025-11-26 11:18:53.018418,0 days 00:02:25.497259,0.5415797658757375,64,0.005913726853337019,2.7701436456978955e-05,0.2,300,0.0009173994739536003,0.027438583459888807,10,7,3.1247029304504395,,,PRUNED
23,3.3498897552490234,2025-11-26 11:18:53.018881,2025-11-26 11:19:17.522044,0 days 00:00:24.503163,0.21071632648177127,32,0.008282669360564762,6.184953536670805e-05,0.5,300,0.005666402401555178,0.03287187290065039,7,7,3.3498897552490234,,,PRUNED
24,3.970106363296509,2025-11-26 11:19:17.522557,2025-11-26 11:19:29.068766,0 days 00:00:11.546209,0.04797470713549889,512,0.001495218873027237,9.857065676719266e-05,0.30000000000000004,300,0.0015708336499007398,0.017506132042060127,8,6,3.970106363296509,,,PRUNED
25,3.9361371994018555,2025-11-26 11:19:29.068939,2025-11-26 11:20:05.630025,0 days 00:00:36.561086,0.10234672400765268,256,0.003230819652412693,6.534344806595756e-06,0.0,300,0.0007371606168591984,0.0615447859336533,9,7,3.9361371994018555,,,PRUNED
26,3.479508876800537,2025-11-26 11:20:05.630381,2025-11-26 11:22:28.671439,0 days 00:02:23.041058,0.4031170655552087,64,0.005256054693826132,1.0262544192468218e-05,0.1,300,0.002757383644463393,0.11085815533668249,7,6,3.479508876800537,,,PRUNED
27,3.265451669692993,2025-11-26 11:22:28.671718,2025-11-26 11:23:20.233850,0 days 00:00:51.562132,0.23836621168224617,64,0.019349974778766297,2.7129150923982727e-05,0.4,300,0.00015490852810611539,0.2073514101700515,10,7,3.265451669692993,,,PRUNED
28,3.3743772506713867,2025-11-26 11:23:20.234099,2025-11-26 11:23:32.564722,0 days 00:00:12.330623,0.15121244287197688,256,0.003210640697643669,5.35320179458723e-06,0.2,300,0.006340513639639338,0.0625951279921734,4,5,3.3743772506713867,,,PRUNED
29,3.282120704650879,2025-11-26 11:23:32.564897,2025-11-26 11:23:55.448761,0 days 00:00:22.883864,0.1097167155786907,32,0.03303192047833489,3.823584150569021e-06,0.30000000000000004,300,0.00036773634019454356,0.03864599470865106,9,7,3.282120704650879,,,PRUNED
