experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_0901,0.001,0.1,32,7,1.0,1.0,1.0,0.0001,5,300,50,scaffold,54.9908,,50.9946,,54,True,2025-11-20 01:39:14,0.5715,0.5852,0.7383,1.0000,0.0000,0.5941,0.5821,0.7358,1.0000,0.0000
exp_0902,0.0001,0.1,32,5,0.01,0.1,0.1,1e-05,5,300,50,scaffold,63.0952,,56.5552,,97,True,2025-11-20 01:42:03,0.6609,0.5852,0.7383,1.0000,0.0000,0.7510,0.5821,0.7358,1.0000,0.0000
exp_0903,0.001,0.3,512,5,1.0,1.0,0.1,0.0,5,300,50,scaffold,60.8059,,56.1257,,94,True,2025-11-20 01:42:34,0.6616,0.6148,0.7524,1.0000,0.0714,0.7257,0.5821,0.7358,1.0000,0.0000
exp_0904,1e-05,0.0,512,3,0.1,1.0,0.1,0.0001,5,300,50,scaffold,60.3480,,52.6447,,71,True,2025-11-20 01:43:24,0.6205,0.4963,0.4035,0.2911,0.7857,0.6773,0.5970,0.5714,0.4615,0.7857
exp_0905,0.001,0.1,512,3,0.1,0.01,0.1,1e-05,5,300,50,scaffold,63.0037,,61.1438,,59,True,2025-11-20 01:43:42,0.6657,0.6296,0.7573,0.9873,0.1250,0.7083,0.5970,0.7429,1.0000,0.0357
exp_0906,0.001,0.0,32,5,0.01,1.0,0.1,0.0,5,300,50,scaffold,63.6447,,55.2893,,54,True,2025-11-20 01:45:00,0.6629,0.5852,0.7383,1.0000,0.0000,0.7297,0.5821,0.7358,1.0000,0.0000
exp_0907,1e-05,0.3,32,5,1.0,0.1,0.1,0.0,5,300,50,scaffold,60.8974,,50.7007,,96,True,2025-11-20 01:46:33,0.6279,0.5778,0.7324,0.9873,0.0000,0.6955,0.5970,0.7379,0.9744,0.0714
exp_0908,1e-05,0.0,32,3,1.0,1.0,0.1,1e-05,5,300,50,scaffold,55.8608,,53.9331,,59,True,2025-11-20 01:46:45,0.6117,0.6000,0.6932,0.7722,0.3571,0.6328,0.5522,0.6739,0.7949,0.2143
exp_0909,0.001,0.3,32,5,0.1,0.1,1.0,1e-05,5,300,50,scaffold,57.6923,,52.0344,,53,True,2025-11-20 01:48:09,0.6154,0.5852,0.7383,1.0000,0.0000,0.6641,0.5821,0.7358,1.0000,0.0000
exp_0912,0.001,0.0,32,3,0.01,1.0,1.0,0.0001,5,300,50,scaffold,67.3993,,51.7970,,79,True,2025-11-20 01:51:41,0.6155,0.5852,0.7383,1.0000,0.0000,0.6376,0.5821,0.7358,1.0000,0.0000
exp_0910,0.0001,0.1,32,3,0.1,1.0,0.1,0.0,5,300,50,scaffold,59.5238,,60.0136,,228,True,2025-11-20 01:53:10,0.6492,0.5852,0.7383,1.0000,0.0000,0.6729,0.5821,0.7358,1.0000,0.0000
exp_0913,0.0001,0.3,512,3,0.1,0.01,1.0,0.0001,5,300,50,scaffold,61.0806,,55.3797,,105,True,2025-11-20 01:53:41,0.6306,0.5926,0.7236,0.9114,0.1429,0.6863,0.5672,0.7071,0.8974,0.1071
exp_0915,1e-05,0.1,512,5,1.0,1.0,1.0,1e-05,5,300,50,scaffold,52.8388,,49.0732,,56,True,2025-11-20 01:54:47,0.5689,0.5037,0.5315,0.4810,0.5357,0.6138,0.5224,0.5676,0.5385,0.5000
exp_0914,0.0001,0.3,32,5,1.0,0.1,1.0,0.0,5,300,50,scaffold,59.7985,,54.2948,,57,True,2025-11-20 01:54:55,0.6204,0.5852,0.7383,1.0000,0.0000,0.6839,0.5821,0.7358,1.0000,0.0000
exp_0911,0.0001,0.3,512,7,0.1,1.0,0.1,1e-05,5,300,50,scaffold,53.1136,,57.7306,,426,True,2025-11-20 01:56:02,0.6258,0.6296,0.7596,1.0000,0.1071,0.6681,0.5821,0.7358,1.0000,0.0000
